"","z_SC","z_IC","z_IN"
"1",0.913207015886046,0.999784861701708,0.968573607523508
"2",0.912266685517325,0.99978253085576,0.968330435895242
"3",0.911137278240657,0.999779731335015,0.968039346982265
"4",0.909780298505803,0.999776367718543,0.967690993468455
"5",0.908149264088041,0.99977232478843,0.967274254039133
"6",0.906188020015971,0.999767463350417,0.966775922691581
"7",0.903828700326484,0.999761615181601,0.966180356327353
"8",0.900989312185336,0.999754577042066,0.965469090801707
"9",0.897570866477548,0.999746103562327,0.964620426848512
"10",0.893454061786999,0.99973589902374,0.963609012061144
"11",0.88849556597693,0.999723608141457,0.96240545629524
"12",0.882524006655366,0.999708806125791,0.960976032772498
"13",0.875335988052996,0.999690988809034,0.959282558508237
"14",0.866692670175533,0.999669564166032,0.957282578255849
"15",0.856317774751341,0.999643847371417,0.954930013843321
"16",0.843898315871635,0.999613062610685,0.952176477212038
"17",0.829089775424475,0.999576355908819,0.948973451100298
"18",0.811527754998066,0.99953282401246,0.945275501829663
"19",0.790848075840387,0.999481564212735,0.941044570982913
"20",0.766716576612571,0.999421748206498,0.936255181354733
"21",0.738868203451513,0.999352718990909,0.930900094006354
"22",0.707152355519413,0.999274103263812,0.924995619253386
"23",0.671578320004667,0.999185924045847,0.918585529941333
"24",0.632351983396966,0.999088691678598,0.911742480979112
"25",0.589894157370838,0.998983449249919,0.904566107330754
"26",0.544832788827283,0.998871753284558,0.897177545196446
"27",0.497966295526007,0.998755582862275,0.889710896841706
"28",0.450201966883989,0.998637186928687,0.882302885934163
"29",0.402479411873772,0.998518894541579,0.87508235766905
"30",0.35569238823622,0.998402921104898,0.868161255048219
"31",0.310622009266868,0.998291202804924,0.861628289034908
"32",0.267890507495787,0.998185282001897,0.855545848427418
"33",0.227939270341063,0.998086252785839,0.849950021738976
"34",0.191029534724912,0.997994762698341,0.844853089372666
"35",0.157260594105376,0.997911057863276,0.840247611959417
"36",0.126599165138942,0.997835055779486,0.8361112779122
"37",0.0989126872644984,0.99776642786219,0.832411675817401
"38",0.0740020875716874,0.99770468065898,0.829110578124755
"39",0.0516304873709784,0.997649227006287,0.826167436828992
"40",0.0315462065634593,0.997599443051518,0.823542008727208
"41",0.013499560686148,0.997554709888768,0.821196137103739
"42",0,0.997514442464376,0.819094885796046
"43",0,0.997478106809234,0.817207108799094
"44",0,0.997445227759295,0.8155055798405
"45",0,0.997415390845823,0.813966873768202
"46",0,0.997388239919468,0.812571075051805
"47",0,0.997363472133538,0.811301390105866
"48",0,0.997340831700421,0.81014372871114
"49",0,0.997320103117317,0.809086283420712
"50",0,0.997301104619376,0.808119139981178
"51",0,0.997283682125019,0.807233927536128
"52",0,0.997267703888446,0.8064235158386
"53",0,0.997253055923137,0.805681759818395
"54",0,0.99723963818996,0.805003288969776
"55",0,0.99722736152696,0.804383338726972
"56",0,0.997216145218695,0.803817617411287
"57",0,0.997205915135532,0.80330220431805
"58",0,0.997196602344099,0.80283347328617
"59",0,0.997188142103487,0.802408036964071
"60",0,0.997180473169828,0.802022707533381
"61",0,0.997173537337247,0.801674470026078
"62",0,0.997167279156123,0.801360465098298
"63",0,0.997161645777954,0.801077978596974
"64",0,0.99715658687974,0.800824435475486
"65",0,0.997152054652538,0.800597397230539
"66",0,0.997148003810796,0.800394560642019
"67",0,0.997144391610334,0.800213757177544
"68",0,0.997141177866216,0.80005295259681
"69",0,0.997138324959296,0.799910246171341
"70",0,0.997135797825012,0.799783869179272
"71",0,0.997133563921084,0.799672182489307
"72",0,0.997131593179656,0.799573673494254
"73",0,0.997129857938457,0.799486952106827
"74",0,0.997128332854552,0.799410745982093
"75",0,0.997126994805302,0.799343895183521
"76",0,0.997125822777659,0.799285346337082
"77",0,0.99712479774903,0.799234146423821
"78",0,0.9971239025626,0.79918943634542
"79",0,0.997123121799567,0.799150444377075
"80",0,0.997122441650626,0.799116479617163
"81",0,0.9971218497888,0.799086925531722
"82",0,0.997121335245487,0.799061233682285
"83",0,0.997120888291813,0.799038917736774
"84",0,0.997120500315968,0.799019547294368
"85",0,0.99712016372264,0.799002742825151
"86",0,0.997119871831034,0.798988170548421
"87",0,0.997119618777018,0.798975537523833
"88",0,0.997119399425928,0.798964587280629
"89",0,0.997119209290777,0.798955095720706
"90",0,0.9971190444601,0.798946867506191
"91",0,0.997118901531303,0.798939732724383
"92",0,0.997118777547805,0.79893354374386
"93",0,0.997118669945401,0.798928172532538
"94",0,0.997118576503503,0.798923508220508
"95",0,0.997118495301589,0.798919454923114
"96",0,0.997118424680508,0.798915929808006
"97",0,0.997118363207068,0.798912861325668
"98",0,0.997118309650843,0.798910188050875
"99",0,0.997118262946133,0.798907856783035
"100",0,0.997118222173492,0.798905821623504
"101",0,0.997118186541464,0.798904043063534
