"","Control","Infection"
"1",0.64337935067036,0.644426129086425
"2",0.643280870459703,0.644465325190167
"3",0.643182444659559,0.644504499637986
"4",0.643084073163284,0.644543652472323
"5",0.642985755864249,0.644582783735622
"6",0.642887492655838,0.644621893470314
"7",0.642789283431444,0.644660981718828
"8",0.642691128084481,0.644700048523588
"9",0.642593026508376,0.644739093927015
"10",0.642494978596562,0.644778117971517
"11",0.642396984242494,0.644817120699506
"12",0.642299043339633,0.644856102153381
"13",0.64220115578146,0.64489506237554
"14",0.642103321461464,0.644934001408373
"15",0.642005540273148,0.644972919294269
"16",0.641907812110032,0.64501181607561
"17",0.641810136865642,0.645050691794769
"18",0.641712514433525,0.645089546494121
"19",0.64161494470723,0.645128380216029
"20",0.641517427580329,0.645167193002854
"21",0.641419962946401,0.645205984896955
"22",0.64132255069904,0.645244755940681
"23",0.641225190731849,0.645283506176379
"24",0.641127882938446,0.645322235646389
"25",0.641030627212461,0.64536094439305
"26",0.640933423447536,0.645399632458692
"27",0.640836271537324,0.645438299885642
"28",0.64073917137549,0.645476946716222
"29",0.640642122855712,0.645515572992751
"30",0.640545125871679,0.64555417875754
"31",0.640448180317093,0.645592764052899
"32",0.640351286085664,0.64563132892113
"33",0.640254443071117,0.64566987340453
"34",0.640157651167187,0.645708397545398
"35",0.640060910267621,0.645746901386022
"36",0.639964220266176,0.645785384968687
"37",0.639867581056621,0.645823848335673
"38",0.639770992532737,0.64586229152926
"39",0.639674454588312,0.645900714591716
"40",0.639577967117151,0.645939117565313
"41",0.639481530013063,0.645977500492312
"42",0.639385143169875,0.646015863414976
"43",0.639288806481417,0.646054206375557
"44",0.639192519841535,0.646092529416306
"45",0.63909628314408,0.64613083257947
"46",0.639000096282922,0.646169115907295
"47",0.638903959151932,0.646207379442017
"48",0.638807871644996,0.646245623225872
"49",0.638711833656009,0.64628384730109
"50",0.638615845078877,0.646322051709901
"51",0.638519905807511,0.646360236494522
"52",0.63842401573584,0.646398401697178
"53",0.638328174757795,0.646436547360081
"54",0.638232382767319,0.646474673525445
"55",0.638136639658366,0.646512780235476
"56",0.638040945324898,0.646550867532379
"57",0.637945299660885,0.646588935458353
"58",0.63784970256031,0.646626984055598
"59",0.637754153917161,0.646665013366305
"60",0.637658653625435,0.646703023432663
"61",0.637563201579139,0.64674101429686
"62",0.637467797672292,0.646778986001078
"63",0.637372441798915,0.646816938587497
"64",0.637277133853042,0.646854872098291
"65",0.637181873728715,0.646892786575635
"66",0.637086661319984,0.646930682061699
"67",0.636991496520903,0.646968558598645
"68",0.636896379225542,0.647006416228639
"69",0.636801309327974,0.647044254993841
"70",0.636706286722279,0.647082074936406
"71",0.636611311302549,0.647119876098489
"72",0.636516382962877,0.647157658522237
"73",0.636421501597371,0.647195422249803
"74",0.636326667100142,0.647233167323326
"75",0.636231879365309,0.647270893784951
"76",0.636137138287001,0.647308601676815
"77",0.636042443759349,0.647346291041055
"78",0.635947795676494,0.647383961919802
"79",0.635853193932586,0.647421614355189
"80",0.635758638421779,0.647459248389343
"81",0.635664129038231,0.647496864064386
"82",0.635569665676112,0.647534461422442
"83",0.635475248229597,0.647572040505632
"84",0.635380876592867,0.647609601356074
"85",0.635286550660107,0.647647144015879
"86",0.63519227032551,0.647684668527161
"87",0.635098035483276,0.64772217493203
"88",0.635003846027609,0.647759663272593
"89",0.634909701852722,0.647797133590956
"90",0.634815602852829,0.647834585929222
"91",0.634721548922154,0.647872020329491
"92",0.634627539954924,0.647909436833862
"93",0.634533575845369,0.64794683548443
"94",0.634439656487731,0.647984216323291
"95",0.634345781776252,0.648021579392537
"96",0.634251951605178,0.648058924734257
"97",0.634158165868765,0.648096252390541
"98",0.63406442446127,0.648133562403475
"99",0.633970727276955,0.648170854815143
"100",0.633877074210086,0.648208129667627
"101",0.633783465154937,0.64824538700301
"102",0.633689900005782,0.648282626863369
"103",0.633596378656903,0.648319849290786
"104",0.633502901002581,0.648357054327332
"105",0.633409466937106,0.648394242015084
"106",0.633316076354767,0.648431412396111
"107",0.633222729149864,0.648468565512491
"108",0.633129425216694,0.648505701406291
"109",0.633036164449558,0.648542820119578
"110",0.632942946742765,0.648579921694422
"111",0.632849771990622,0.648617006172888
"112",0.632756640087441,0.648654073597039
"113",0.632663550927539,0.64869112400894
"114",0.632570504405234,0.648728157450655
"115",0.632477500414842,0.648765173964241
"116",0.632384538850693,0.648802173591764
"117",0.63229161960711,0.64883915637528
"118",0.632198742578423,0.648876122356848
"119",0.632105907658958,0.648913071578524
"120",0.632013114743052,0.648950004082368
"121",0.631920363725039,0.648986919910433
"122",0.631827654499253,0.649023819104774
"123",0.631734986960036,0.649060701707449
"124",0.631642361001724,0.649097567760507
"125",0.631549776518662,0.649134417306005
"126",0.63145723340519,0.649171250385994
"127",0.631364731555654,0.649208067042528
"128",0.631272270864396,0.649244867317655
"129",0.631179851225763,0.649281651253427
"130",0.631087472534104,0.6493184188919
"131",0.630995134683764,0.649355170275119
"132",0.630902837569092,0.649391905445137
"133",0.630810581084438,0.649428624444005
"134",0.630718365124149,0.649465327313772
"135",0.630626189582574,0.649502014096487
"136",0.630534054354063,0.649538684834204
"137",0.630441959332965,0.64957533956897
"138",0.630349904413629,0.649611978342836
"139",0.630257889490401,0.64964860119785
"140",0.630165914457633,0.649685208176067
"141",0.63007397920967,0.649721799319535
"142",0.629982083640858,0.649758374670306
"143",0.629890227645544,0.64979493427043
"144",0.629798411118074,0.649831478161961
"145",0.629706633952789,0.649868006386949
"146",0.629614896044033,0.649904518987449
