"","pN(Vert)","qC","pNHoriz","qN"
"72",0.0568,0.12488732924364,0.132994535973999,0.117793728942601
"73",0.0576,0.126423928995737,0.134735466735149,0.119141910685582
"74",0.0584,0.127955142012505,0.13647290173988,0.120482561718975
"75",0.0592,0.129480996570155,0.138206848007608,0.121815721573202
"76",0.06,0.131001520747339,0.13993731254365,0.123141429502498
"77",0.0608,0.132516742426871,0.141664302339258,0.124459724487317
"78",0.0616,0.134026689297436,0.143387824371647,0.125770645236714
"79",0.0624,0.135531388855271,0.14510788560402,0.127074230190702
"80",0.0632,0.137030868405837,0.146824492985599,0.128370517522588
"81",0.064,0.138525155065472,0.148537653451651,0.129659545141282
"82",0.0648,0.140014275763022,0.150247373923519,0.130941350693578
"83",0.0656,0.141498257241462,0.151953661308646,0.132215971566422
"84",0.0664,0.142977126059495,0.153656522500607,0.133483444889144
"85",0.0672,0.144450908593135,0.155355964379133,0.134743807535676
"86",0.068,0.145919631037281,0.157051993810143,0.135997096126745
"87",0.0688,0.147383319407261,0.158744617645765,0.137243347032041
"88",0.0696,0.148841999540375,0.160433842724373,0.138482596372365
"89",0.0704,0.15029569709741,0.162119675870608,0.139714880021752
"90",0.0712,0.151744437564149,0.163802123895405,0.140940233609582
"91",0.072,0.153188246252858,0.165481193596025,0.142158692522652
"92",0.0728,0.154627148303759,0.167156891756081,0.143370291907246
"93",0.0736,0.156061168686494,0.168829225145562,0.144575066671168
"94",0.0744,0.157490332201562,0.170498200520865,0.145773051485766
"95",0.0752,0.158914663481757,0.172163824624819,0.146964280787929
"96",0.076,0.160334186993577,0.173826104186716,0.148148788782065
"97",0.0768,0.161748927038627,0.175485045922332,0.14932660944206
"98",0.0776,0.163158907755006,0.177140656533961,0.150497776513218
"99",0.0784,0.164564153118682,0.178792942710437,0.151662323514177
"100",0.0792,0.165964686944845,0.180441911127163,0.152820283738814
"101",0.08,0.167360532889259,0.182087568446141,0.153971690258118
"102",0.0808,0.168751714449589,0.183729921315991,0.155116575922062
"103",0.0816,0.170138254966723,0.185368976371985,0.156254973361438
"104",0.0824,0.171520177626074,0.187004740236073,0.157386914989685
"105",0.0832,0.172897505458876,0.188637219516907,0.158512433004698
"106",0.084,0.174270261343462,0.190266420809867,0.159631559390611
"107",0.0848,0.175638468006529,0.191892350697093,0.160744325919575
"108",0.0856,0.177002148024394,0.193515015747505,0.161850764153506
"109",0.0864,0.178361323824235,0.195134422516836,0.162950905445821
"110",0.0872,0.179716017685323,0.196750577547652,0.164044780943162
"111",0.088,0.181066251740234,0.198363487369384,0.165132421587094
"112",0.0888,0.182412047976061,0.199973158498351,0.166213858115787
"113",0.0896,0.183753428235601,0.201579597437787,0.167289121065692
"114",0.0904,0.185090414218542,0.203182810677869,0.168358240773186
"115",0.0912,0.18642302748263,0.204782804695741,0.169421247376214
"116",0.092,0.187751289444828,0.20637958595554,0.170478170815904
"117",0.0928,0.189075221382465,0.207973160908425,0.171529040838172
"118",0.0936,0.190394844434369,0.2095635359926,0.172573886995312
"119",0.0944,0.191710179601998,0.211150717633341,0.173612738647569
"120",0.0952,0.193021247750547,0.212734712243024,0.174645624964695
"121",0.096,0.194328069610055,0.214315526221147,0.17567257492749
"122",0.0968,0.195630665776498,0.215893165954359,0.176693617329333
"123",0.0976,0.19692905671287,0.217467637816484,0.177708780777694
"124",0.0984,0.198223262750255,0.219038948168548,0.178718093695629
"125",0.0992,0.199513304088886,0.220607103358805,0.179721584323269
"126",0.1,0.200799200799201,0.222172109722759,0.180719280719281
"127",0.1008,0.202080972822878,0.223733973583196,0.181711210762332
"128",0.1016,0.20335863997387,0.225292701250204,0.182697402152525
"129",0.1024,0.204632221939425,0.226848299021201,0.183677882412828
"130",0.1032,0.205901738281095,0.228400773180958,0.184652678890486
"131",0.104,0.207167208435741,0.22995013000163,0.185621818758424
"132",0.1048,0.208428651716522,0.231496375742775,0.186585329016631
"133",0.1056,0.209686087313881,0.233039516651382,0.187543236493535
"134",0.1064,0.210939534296513,0.234579558961897,0.188495567847364
"135",0.1072,0.212189011612334,0.236116508896246,0.189442349567492
"136",0.108,0.213434538089432,0.237650372663865,0.190383607975774
"137",0.1088,0.214676132437017,0.239181156461717,0.19131936922787
"138",0.1096,0.215913813246352,0.240708866474325,0.192249659314552
"139",0.1104,0.217147598991686,0.242233508873791,0.193174504063004
"140",0.1112,0.218377508031171,0.243755089819826,0.194093929138105
"141",0.112,0.219603558607773,0.24527361545977,0.195007960043702
"142",0.1128,0.220825768850173,0.246789091928622,0.195916622123873
"143",0.1136,0.222044156773661,0.248301525349059,0.196819940564174
"144",0.1144,0.223258740281025,0.249810921831467,0.197717940392876
"145",0.1152,0.22446953716342,0.251317287473959,0.198610646482194
"146",0.116,0.225676565101243,0.252820628362406,0.199498083549499
"147",0.1168,0.226879841664992,0.254320950570458,0.200380276158521
"148",0.1176,0.228079384316117,0.255818260159567,0.201257248720542
"149",0.1184,0.229275210407868,0.257312563179018,0.202129025495576
"150",0.1192,0.230467337186127,0.258803865665944,0.202995630593541
"151",0.12,0.231655781790242,0.260292173645361,0.203857087975413
"152",0.1208,0.232840561253845,0.261777493130181,0.204713421454381
"153",0.1216,0.234021692505668,0.263259830121248,0.205564654696979
"154",0.1224,0.235199192370347,0.264739190607352,0.206410811224217
"155",0.1232,0.236373077569223,0.26621558056526,0.207251914412695
"156",0.124,0.237543364721131,0.267689005959737,0.208087987495711
"157",0.1248,0.23871007034319,0.26915947274357,0.208919053564359
"158",0.1256,0.23987321085157,0.270626986857596,0.209745135568613
"159",0.1264,0.241032802562273,0.272091554230719,0.210566256318402
"160",0.1272,0.242188861691889,0.27355318077994,0.211382438484681
"161",0.128,0.243341404358353,0.275011872410379,0.212193704600484
"162",0.1288,0.244490446581697,0.276467635015297,0.213000077061974
"163",0.1296,0.245636004284787,0.277920474476124,0.213801578129479
"164",0.1304,0.246778093294065,0.279370396662477,0.214598229928519
"165",0.1312,0.247916729340273,0.28081740743219,0.215390054450829
"166",0.132,0.249051928059175,0.282261512631332,0.216177073555364
"167",0.1328,0.250183704992277,0.283702718094235,0.216959308969302
"168",0.1336,0.251312075587533,0.285141029643515,0.217736782289038
"169",0.1344,0.252437055200048,0.286576453090096,0.218509514981161
"170",0.1352,0.253558659092775,0.288008994233235,0.219277528383432
"171",0.136,0.254676902437207,0.289438658860544,0.220040843705746
"172",0.1368,0.255791800314056,0.290865452748012,0.220799482031093
"173",0.1376,0.256903367713938,0.29228938166003,0.2215534643165
"174",0.1384,0.258011619538038,0.293710451349417,0.222302811393974
"175",0.1392,0.259116570598782,0.295128667557438,0.223047543971432
"176",0.14,0.260218235620492,0.29654403601383,0.223787682633623
"177",0.1408,0.261316629240043,0.297956562436824,0.224523247843045
"178",0.1416,0.262411766007509,0.299366252533172,0.225254259940845
"179",0.1424,0.263503660386808,0.300773111998164,0.225980739147726
"180",0.1432,0.264592326756337,0.302177146515654,0.22670270556483
"181",0.144,0.265677779409605,0.303578361758085,0.227420179174622
"182",0.1448,0.266760032555855,0.304976763386508,0.228133179841767
"183",0.1456,0.267839100320686,0.306372357050607,0.228841727313995
"184",0.1464,0.268914996746672,0.307765148388722,0.229545841222959
"185",0.1472,0.269987735793961,0.309155143027872,0.23024554108509
"186",0.148,0.27105733134089,0.310542346583776,0.230940846302438
"187",0.1488,0.272123797184575,0.311926764660876,0.23163177616351
"188",0.1496,0.273187147041508,0.313308402852362,0.232318349844099
"189",0.1504,0.274247394548146,0.314687266740193,0.233000586408105
"190",0.1512,0.275304553261492,0.316063361895118,0.233678504808354
"191",0.152,0.276358636659671,0.3174366938767,0.234352123887401
"192",0.1528,0.277409658142509,0.318807268233342,0.235021462378334
"193",0.1536,0.278457631032094,0.320175090502301,0.235686538905565
"194",0.1544,0.279502568573343,0.321540166209718,0.236347371985619
"195",0.1552,0.280544483934558,0.322902500870639,0.237003980027915
"196",0.156,0.281583390207982,0.324262099989032,0.237656381335536
"197",0.1568,0.282619300410342,0.325618969057816,0.238304594106
"198",0.1576,0.283652227483399,0.326973113558879,0.238948636432015
"199",0.1584,0.284682184294482,0.328324538963104,0.239588526302236
"200",0.1592,0.285709183637026,0.329673250730384,0.240224281602011
"201",0.16,0.286733238231098,0.331019254309653,0.240855920114123
"202",0.1608,0.287754360723926,0.332362555138902,0.241483459519519
"203",0.1616,0.288772563690417,0.333703158645201,0.242106917398046
"204",0.1624,0.289787859633673,0.335041070244725,0.242726311229164
"205",0.1632,0.290800260985504,0.336376295342773,0.24334165839267
"206",0.164,0.291809780106937,0.337708839333789,0.243952976169399
"207",0.1648,0.292816429288715,0.339038707601386,0.244560281741935
"208",0.1656,0.293820220751799,0.340365905518366,0.245163592195301
"209",0.1664,0.294821166647862,0.341690438446744,0.245762924517658
"210",0.1672,0.295819279059778,0.343012311737767,0.246358295600983
"211",0.168,0.29681457000211,0.344331530731937,0.246949722241755
"212",0.1688,0.29780705142159,0.345648100759032,0.247537221141625
"213",0.1696,0.298796735197599,0.346962027138129,0.248120808908086
"214",0.1704,0.299783633142641,0.348273315177624,0.248700502055135
"215",0.1712,0.300767757002811,0.349581970175253,0.24927631700393
"216",0.172,0.301749118458262,0.350887997418115,0.249848270083441
"217",0.1728,0.302727729123668,0.352191402182693,0.250416377531098
"218",0.1736,0.303703600548682,0.353492189734873,0.25098065549343
"219",0.1744,0.304676744218387,0.354790365329969,0.2515411200267
"220",0.1752,0.305647171553753,0.356085934212743,0.252097787097536
"221",0.176,0.306614893912079,0.357378901617424,0.252650672583553
"222",0.1768,0.307579922587435,0.358669272767731,0.253199792273977
"223",0.1776,0.308542268811108,0.359957052876895,0.253745161870255
"224",0.1784,0.309501943752028,0.361242247147678,0.254286796986666
"225",0.1792,0.310458958517211,0.362524860772394,0.254824713150927
"226",0.18,0.311413324152178,0.363804898932933,0.255358925804786
"227",0.1808,0.312365051641385,0.36508236680078,0.255889450304622
"228",0.1816,0.313314151908643,0.366357269537032,0.256416301922034
"229",0.1824,0.314260635817538,0.367629612292428,0.256939495844419
"230",0.1832,0.315204514171843,0.36889940020736,0.257459047175561
"231",0.184,0.316145797715927,0.3701666384119,0.257974970936196
"232",0.1848,0.317084497135169,0.371431332025819,0.25848728206459
"233",0.1856,0.318020623056359,0.372693486158608,0.258995995417099
"234",0.1864,0.318954186048095,0.373953105909497,0.25950112576873
"235",0.1872,0.31988519662119,0.375210196367478,0.260002687813703
"236",0.188,0.320813665229056,0.376464762611323,0.260500696165993
"237",0.1888,0.321739602268103,0.377716809709608,0.260995165359885
"238",0.1896,0.322663018078124,0.378966342720729,0.261486109850512
"239",0.1904,0.32358392294268,0.380213366692926,0.261973544014394
"240",0.1912,0.324502327089483,0.381457886664304,0.262457482149974
"241",0.192,0.325418240690772,0.382699907662847,0.262937938478144
"242",0.1928,0.32633167386369,0.383939434706449,0.263414927142771
"243",0.1936,0.327242636670658,0.385176472802922,0.263888462211219
"244",0.1944,0.328151139119744,0.386411026950027,0.264358557674865
"245",0.1952,0.329057191165025,0.387643102135487,0.264825227449612
"246",0.196,0.329960802706958,0.388872703337011,0.265288485376394
"247",0.1968,0.330861983592736,0.390099835522313,0.265748345221685
"248",0.1976,0.331760743616645,0.39132450364913,0.266204820677996
"249",0.1984,0.332657092520421,0.392546712665247,0.266657925364369
"250",0.1992,0.333551039993602,0.393766467508512,0.267107672826877
"251",0.2,0.334442595673877,0.394983773106857,0.267554076539102
"252",0.2008,0.33533176914743,0.396198634378321,0.267997149902626
"253",0.2016,0.336218569949287,0.397411056231066,0.268436906247511
"254",0.2024,0.337103007563655,0.3986210435634,0.268873358832771
"255",0.2032,0.337985091424259,0.399828601263795,0.269306520846849
"256",0.204,0.33886483091468,0.401033734210904,0.269736405408086
"257",0.2048,0.339742235368688,0.402236447273589,0.270163025565181
"258",0.2056,0.340617314070567,0.403436745310931,0.270586394297659
"259",0.2064,0.341490076255449,0.404634633172257,0.271006524516324
"260",0.2072,0.342360531109635,0.405830115697154,0.271423429063719
"261",0.208,0.343228687770918,0.407023197715493,0.271837120714567
"262",0.2088,0.344094555328904,0.408213884047447,0.272247612176229
"263",0.2096,0.344958142825327,0.409402179503509,0.272654916089138
"264",0.2104,0.345819459254365,0.410588088884513,0.273059045027247
"265",0.2112,0.346678513562954,0.411771616981654,0.273460011498458
"266",0.212,0.347535314651094,0.412952768576503,0.273857827945062
"267",0.2128,0.348389871372161,0.414131548441035,0.274252506744165
"268",0.2136,0.349242192533205,0.415307961337639,0.274644060208112
"269",0.2144,0.350092286895261,0.416482012019142,0.275032500584917
"270",0.2152,0.350940163173643,0.417653705228828,0.275417840058675
"271",0.216,0.351785830038245,0.418823045700456,0.275800090749984
"272",0.2168,0.352629296113834,0.419990038158281,0.276179264716354
"273",0.2176,0.353470569980345,0.42115468731707,0.276555373952622
"274",0.2184,0.354309660173174,0.422316997882124,0.276928430391353
"275",0.2192,0.355146575183461,0.423476974549295,0.277298445903246
"276",0.22,0.35598132345838,0.424634622005007,0.277665432297537
"277",0.2208,0.356813913401425,0.425789944926273,0.278029401322391
"278",0.2216,0.357644353372688,0.426942947980714,0.278390364665301
"279",0.2224,0.358472651689141,0.42809363582658,0.278748333953476
"280",0.2232,0.359298816624914,0.429242013112766,0.279103320754233
"281",0.224,0.360122856411569,0.430388084478833,0.279455336575378
"282",0.2248,0.360944779238374,0.431531854555025,0.279804392865588
"283",0.2256,0.361764593252575,0.43267332796229,0.280150501014794
"284",0.2264,0.362582306559665,0.433812509312295,0.280493672354557
"285",0.2272,0.363397927223651,0.434949403207449,0.280833918158437
"286",0.228,0.364211463267317,0.436084014240918,0.281171249642369
"287",0.2288,0.365022922672491,0.437216346996646,0.281505677965025
"288",0.2296,0.365832313380304,0.438346406049372,0.281837214228186
"289",0.2304,0.366639643291447,0.43947419596465,0.282165869477098
"290",0.2312,0.367444920266432,0.440599721298864,0.282491654700833
"291",0.232,0.368248152125845,0.441722986599251,0.282814580832649
"292",0.2328,0.369049346650598,0.442843996403917,0.283134658750339
"293",0.2336,0.369848511582184,0.443962755241854,0.283451899276586
"294",0.2344,0.370645654622922,0.445079267632963,0.283766313179309
"295",0.2352,0.371440783436208,0.446193538088067,0.284077911172011
"296",0.236,0.372233905646756,0.44730557110893,0.284386703914122
"297",0.2368,0.373025028840849,0.44841537118828,0.284692702011336
"298",0.2376,0.373814160566573,0.44952294280982,0.284995916015955
"299",0.2384,0.374601308334063,0.450628290448253,0.285296356427222
"300",0.2392,0.375386479615738,0.451731418569294,0.285594033691653
"301",0.24,0.376169681846538,0.452832331629694,0.285888958203369
"302",0.2408,0.376950922424159,0.453931034077253,0.286181140304422
"303",0.2416,0.377730208709288,0.45502753035084,0.286470590285124
"304",0.2424,0.378507548025829,0.456121824880411,0.286757318384368
"305",0.2432,0.379282947661138,0.457213922087027,0.287041334789949
"306",0.244,0.380056414866247,0.458303826382871,0.287322649638883
"307",0.2448,0.380827956856092,0.459391542171268,0.287601273017721
"308",0.2456,0.381597580809736,0.460477073846698,0.287877214962865
"309",0.2464,0.382365293870593,0.461560425794821,0.288150485460879
"310",0.2472,0.383131103146648,0.462641602392488,0.288421094448797
"311",0.248,0.383895015710677,0.463720608007761,0.288689051814429
"312",0.2488,0.384657038600464,0.464797446999934,0.288954367396669
"313",0.2496,0.385417178819018,0.465872123719544,0.289217050985791
"314",0.2504,0.386175443334786,0.466944642508395,0.289477112323756
"315",0.2512,0.386931839081869,0.468015007699571,0.289734561104504
