"","SC","IC","SN","IN"
"170",6.08,29.46,83.25,631.21
"171",5.89,28.74,82.71,632.66
"172",5.61,28.25,81.99,634.15
"173",5.35,27.63,81.9,635.12
"174",5.16,26.92,82.04,635.88
"175",5.02,26.26,81.34,637.38
"176",4.77,25.53,80.6,639.1
"177",4.48,25.05,79.43,641.04
"178",4.29,24.48,78.93,642.3
"179",4.13,23.85,79.1,642.92
"180",4.02,23.36,78.23,644.39
"181",3.8,22.97,77.51,645.72
"182",3.6,22.44,77.69,646.27
"183",3.53,21.84,77.99,646.64
"184",3.41,21.23,77.67,647.69
"185",3.26,20.74,78.16,647.84
"186",3.13,20.27,78.07,648.53
"187",2.96,19.77,77.54,649.73
"188",2.93,19.11,76.62,651.34
"189",2.77,18.63,75.99,652.61
"190",2.61,18.3,75.87,653.22
"191",2.51,17.82,76.11,653.56
"192",2.43,17.23,75.98,654.36
"193",2.38,16.78,75.83,655.01
"194",2.24,16.33,75.34,656.09
"195",2.15,15.87,75.21,656.77
"196",2.1,15.43,75.33,657.14
"197",2.04,15.07,75.36,657.53
"198",2.01,14.54,75.32,658.13
"199",1.9,14.22,75.03,658.85
"200",1.9,13.73,75.29,659.08
"201",1.88,13.32,75.02,659.78
"202",1.84,13.03,74.24,660.89
"203",1.76,12.76,74.38,661.1
"204",1.68,12.38,74.69,661.25
"205",1.64,12.06,73.97,662.33
"206",1.61,11.69,74.12,662.58
"207",1.57,11.3,74,663.13
"208",1.45,10.99,74.3,663.26
"209",1.43,10.59,73.96,664.02
"210",1.39,10.27,73.82,664.52
"211",1.35,10.03,73.83,664.79
"212",1.31,9.78,73.71,665.2
"213",1.3,9.57,73.67,665.46
"214",1.28,9.27,73.96,665.49
"215",1.28,9.04,73.46,666.22
"216",1.3,8.69,73.22,666.79
"217",1.22,8.46,73.21,667.11
"218",1.17,8.29,73.16,667.38
"219",1.13,8.13,72.79,667.95
"220",1.12,7.83,73.42,667.63
"221",1.13,7.63,73.3,667.94
"222",1.09,7.49,73.97,667.45
"223",1.12,7.21,74.06,667.61
"224",1.1,6.99,74.46,667.45
"225",1.1,6.73,74.51,667.66
"226",1.11,6.55,74.79,667.55
"227",1.11,6.44,74.21,668.24
"228",1.2,6.3,74.24,668.26
"229",1.22,6.18,74.1,668.5
"230",1.27,6.08,73.5,669.15
"231",1.31,5.92,72.97,669.8
"232",1.28,5.82,72.65,670.25
"233",1.3,5.63,72.55,670.52
"234",1.38,5.45,72.23,670.94
"235",1.5,5.32,72.21,670.97
"236",1.53,5.17,72.51,670.79
"237",1.49,5.08,72.7,670.73
"238",1.45,5.07,72.67,670.81
"239",1.45,5.01,73.26,670.28
"240",1.46,4.91,73.11,670.52
"241",1.41,4.85,72.81,670.93
"242",1.37,4.73,72.83,671.07
"243",1.36,4.62,72.24,671.78
"244",1.4,4.56,72.57,671.47
"245",1.4,4.43,72.4,671.77
"246",1.45,4.29,72.78,671.48
"247",1.52,4.17,72.84,671.47
"248",1.52,4.09,72.81,671.58
"249",1.54,3.98,72.41,672.07
"250",1.54,3.8,72.79,671.87
"251",1.56,3.78,72.79,671.87
"252",1.6,3.8,73.2,671.4
"253",1.63,3.77,73,671.6
"254",1.66,3.72,73.23,671.39
"255",1.7,3.71,73.24,671.35
"256",1.72,3.67,73.09,671.52
"257",1.77,3.65,73.21,671.37
"258",1.79,3.68,73.71,670.82
"259",1.89,3.65,73.36,671.1
"260",2.01,3.56,73.84,670.59
"261",2,3.57,73.84,670.59
"262",2.05,3.57,73.95,670.43
"263",2.14,3.5,73.98,670.38
"264",2.26,3.44,73.9,670.4
"265",2.28,3.45,73.97,670.3
"266",2.3,3.52,73.23,670.95
"267",2.35,3.49,73.62,670.54
"268",2.44,3.41,73.98,670.17
"269",2.43,3.37,73.72,670.48
"270",2.43,3.31,73.63,670.63
"271",2.47,3.25,73.72,670.56
"272",2.48,3.26,73.08,671.18
"273",2.6,3.29,72.84,671.27
"274",2.58,3.34,72.93,671.15
"275",2.54,3.44,72.78,671.24
"276",2.49,3.48,72.73,671.3
"277",2.57,3.5,73.18,670.75
"278",2.66,3.48,73.06,670.8
"279",2.81,3.45,72.81,670.93
"280",2.89,3.49,72.28,671.34
"281",2.91,3.55,72.46,671.08
"282",3.03,3.56,72.36,671.05
"283",3.06,3.61,72.06,671.27
"284",3.11,3.53,72.37,670.99
"285",3.13,3.62,71.9,671.35
"286",3.27,3.66,72.12,670.95
"287",3.18,3.81,72.09,670.92
"288",3.27,3.75,72.08,670.9
"289",3.3,3.74,71.92,671.04
