"","rep.NA..length.out_f...1...","rep.NA..length.out_f...1....1","rep.NA..length.out_f...1....2"
"1264",0.836004866548608,0.881203609391697,0.889549180327763
"1265",0.836107922152372,0.881228608268639,0.889549180327763
"1266",0.836210732696721,0.881253528128946,0.889549180327763
"1267",0.836313298923491,0.881278369246667,0.889549180327763
"1268",0.836415621571732,0.881303131894759,0.889549180327763
"1269",0.836517701377724,0.881327816345093,0.889549180327763
"1270",0.836619539074988,0.881352422868457,0.889549180327764
"1271",0.836721135394299,0.881376951734561,0.889549180327764
"1272",0.836822491063695,0.881401403212044,0.889549180327764
"1273",0.836923606808494,0.881425777568479,0.889549180327764
"1274",0.837024483351301,0.881450075070375,0.889549180327764
"1275",0.83712512141202,0.881474295983186,0.889549180327764
"1276",0.837225521707875,0.881498440571312,0.889549180327764
"1277",0.837325684953411,0.881522509098109,0.889549180327765
"1278",0.837425611860509,0.881546501825887,0.889549180327765
"1279",0.8375253031384,0.881570419015923,0.889549180327766
"1280",0.837624759493671,0.881594260928458,0.889549180327766
"1281",0.837723981630286,0.881618027822708,0.889549180327767
"1282",0.837822970249588,0.881641719956865,0.889549180327767
"1283",0.837921726050316,0.881665337588105,0.889549180327768
"1284",0.838020249728614,0.881688880972587,0.889549180327768
"1285",0.838118541978043,0.881712350365466,0.889549180327769
"1286",0.838216603489594,0.88173574602089,0.889549180327769
"1287",0.838314434951696,0.88175906819201,0.88954918032777
"1288",0.838412037050232,0.881782317130982,0.88954918032777
"1289",0.838509410468542,0.881805493088971,0.889549180327771
"1290",0.838606555887444,0.881828596316158,0.889549180327771
"1291",0.838703473985236,0.881851627061744,0.889549180327771
"1292",0.838800165437715,0.881874585573953,0.889549180327771
"1293",0.838896630918183,0.881897472100038,0.889549180327771
"1294",0.838992871097459,0.881920286886283,0.889549180327771
"1295",0.839088886643889,0.881943030178013,0.889549180327771
"1296",0.839184678223357,0.881965702219591,0.889549180327772
"1297",0.839280246499298,0.88198830325443,0.889549180327771
"1298",0.839375592132704,0.882010833524992,0.889549180327771
"1299",0.839470715782141,0.882033293272792,0.889549180327771
"1300",0.839565618103752,0.882055682738409,0.889549180327771
"1301",0.839660299751273,0.882078002161481,0.889549180327771
"1302",0.839754761376043,0.882100251780718,0.889549180327771
"1303",0.839849003627012,0.882122431833899,0.889549180327771
"1304",0.839943027150754,0.882144542557883,0.889549180327771
"1305",0.840036832591475,0.882166584188607,0.889549180327771
"1306",0.840130420591023,0.882188556961095,0.889549180327771
"1307",0.8402237917889,0.882210461109458,0.889549180327771
"1308",0.840316946822273,0.882232296866903,0.889549180327772
"1309",0.840409886325984,0.882254064465734,0.889549180327772
"1310",0.840502610932554,0.882275764137354,0.889549180327772
"1311",0.840595121272202,0.882297396112275,0.889549180327773
"1312",0.840687417972847,0.882318960620117,0.889549180327773
"1313",0.840779501660124,0.882340457889615,0.889549180327774
"1314",0.84087137295739,0.882361888148622,0.889549180327774
"1315",0.840963032485736,0.882383251624111,0.889549180327774
"1316",0.841054480863994,0.882404548542184,0.889549180327775
"1317",0.841145718708751,0.88242577912807,0.889549180327775
"1318",0.841236746634354,0.882446943606133,0.889549180327775
"1319",0.841327565252923,0.882468042199876,0.889549180327775
"1320",0.841418175174359,0.882489075131942,0.889549180327775
"1321",0.841508577006356,0.882510042624119,0.889549180327775
"1322",0.841598771354404,0.882530944897347,0.889549180327776
"1323",0.841688758821807,0.882551782171717,0.889549180327776
"1324",0.841778540009686,0.882572554666478,0.889549180327776
"1325",0.841868115516992,0.882593262600039,0.889549180327775
"1326",0.841957485940515,0.882613906189976,0.889549180327775
"1327",0.842046651874889,0.88263448565303,0.889549180327775
"1328",0.842135613912605,0.882655001205117,0.889549180327775
"1329",0.842224372644021,0.882675453061328,0.889549180327775
"1330",0.842312928657369,0.882695841435933,0.889549180327774
"1331",0.842401282538763,0.882716166542385,0.889549180327774
"1332",0.842489434872212,0.882736428593326,0.889549180327774
"1333",0.842577386239624,0.882756627800587,0.889549180327773
"1334",0.84266513722082,0.882776764375191,0.889549180327773
"1335",0.842752688393539,0.882796838527364,0.889549180327773
"1336",0.84284004033345,0.882816850466529,0.889549180327773
"1337",0.842927193614157,0.882836800401316,0.889549180327772
"1338",0.84301414880721,0.882856688539563,0.889549180327772
"1339",0.843100906482116,0.882876515088319,0.889549180327771
"1340",0.843187467206342,0.882896280253851,0.889549180327771
"1341",0.843273831545333,0.882915984241641,0.889549180327771
