"","Control","Infection","IC","IN"
"1",0.57616958924165,0.671176282888896,0.330893381934293,0.340282900954603
"2",0.576051970415445,0.671223096352062,0.330835656091237,0.340387440260824
"3",0.575932953931,0.671270466097113,0.330777239411402,0.340493226685711
"4",0.575812531097769,0.671318395582978,0.330718127456217,0.340600268126761
"5",0.575690693218204,0.671366888271361,0.330658315780215,0.340708572491145
"6",0.575567431587269,0.671415947626958,0.330597799930755,0.340818147696203
"7",0.575442737491922,0.671465577117641,0.33053657544772,0.340929001669921
"8",0.575316602210604,0.671515780214683,0.330474637863228,0.341041142351455
"9",0.575189017012706,0.671566560392952,0.330411982701323,0.341154577691629
"10",0.575059973158027,0.671617921131132,0.330348605477667,0.341269315653466
"11",0.574929461896229,0.671669865911948,0.330284501699226,0.341385364212722
"12",0.57479747446627,0.671722398222381,0.33021966686395,0.341502731358431
"13",0.574664002095829,0.671775521553897,0.330154096460443,0.341621425093454
"14",0.574529036000735,0.671829239402692,0.330087785967639,0.341741453435053
"15",0.574392567384359,0.671883555269906,0.330020730854454,0.341862824415452
"16",0.574254587437022,0.671938472661882,0.32995292657945,0.341985546082432
"17",0.574115087335371,0.671993995090398,0.329884368590484,0.342109626499914
"18",0.573974058241764,0.672050126072929,0.329815052324356,0.342235073748573
"19",0.573831491303626,0.672106869132886,0.329744973206445,0.342361895926441
"20",0.573687377652806,0.672164227799877,0.329674126650345,0.342490101149532
"21",0.57354170840493,0.672222205609979,0.329602508057496,0.342619697552483
"22",0.57339447465872,0.672280806105982,0.329530112816804,0.342750693289178
"23",0.57324566749533,0.672340032837678,0.329456936304262,0.342883096533417
"24",0.573095277977657,0.672399889362132,0.329382973882562,0.34301691547957
"25",0.572943297149631,0.672460379243926,0.329308220900689,0.343152158343237
"26",0.572789716035539,0.672521506055506,0.329232672693549,0.343288833361957
"27",0.572634525639272,0.672583273377402,0.329156324581538,0.343426948795864
"28",0.572477716943625,0.672645684798559,0.329079171870146,0.343566512928413
"29",0.572319280909541,0.672708743916602,0.32900120984953,0.343707534067072
"30",0.572159208475376,0.672772454338161,0.328922433794108,0.343850020544054
"31",0.57199749055613,0.672836819679137,0.328842838962108,0.343993980717029
"32",0.571834118042711,0.67290184356509,0.328762420595183,0.344139422969907
"33",0.571669081801092,0.672967529631408,0.328681173917898,0.34428635571351
"34",0.571502372671586,0.673033881523748,0.32859909413735,0.344434787386398
"35",0.571333981468019,0.673100902898303,0.32851617644269,0.344584726455613
"36",0.571163898976921,0.673168597422121,0.32843241600467,0.344736181417451
"37",0.570992115956716,0.67323696877345,0.328347807975187,0.344889160798262
"38",0.570818623136876,0.673306020642041,0.328262347486804,0.345043673155237
"39",0.570643411217098,0.673375756729512,0.328176029652288,0.345199727077224
"40",0.570466470866445,0.673446180749673,0.328088849564127,0.345357331185546
"41",0.570287792722483,0.67351729642886,0.328000802294037,0.345516494134824
"42",0.570107367390413,0.673589107506306,0.327911882892484,0.345677224613822
"43",0.569925185442179,0.673661617734456,0.32782208638817,0.345839531346286
"44",0.569741237415593,0.673734830879367,0.327731407787547,0.34600342309182
"45",0.56955551381341,0.673808750721029,0.327639842074292,0.346168908646738
"46",0.56936800510243,0.673883381053759,0.3275473842088,0.346335996844959
"47",0.569178701712559,0.673958725686547,0.327454029127658,0.346504696558889
"48",0.568987594035876,0.674034788443433,0.327359771743112,0.346675016700321
"49",0.568794672425681,0.674111573163884,0.327264606942534,0.346846966221351
"50",0.568599927195577,0.674189083703253,0.327168529587915,0.347020554115338
"51",0.568403348618403,0.674267323932971,0.327071534515227,0.347195789417744
"52",0.568204926925353,0.674346297741154,0.32697361653397,0.347372681207184
"53",0.568004652304926,0.674426009032865,0.326874770426545,0.347551238606321
"54",0.56780251490194,0.674506461730572,0.326774990947713,0.347731470782859
"55",0.567598504816505,0.674587659774523,0.32667427282401,0.347913386950512
"56",0.567392612103005,0.674669607123183,0.326572610753173,0.34809699637001
"57",0.567184826769042,0.674752307753615,0.326469999403534,0.348282308350082
"58",0.566975138774398,0.674835765661932,0.326366433413444,0.348469332248489
"59",0.566763538029958,0.6749199848637,0.326261907390655,0.348658077473045
"60",0.566550014396631,0.67500496939436,0.326156415911709,0.348848553482651
"61",0.566334557684292,0.675090723309734,0.326049953521351,0.349040769788383
"62",0.566117157650609,0.675177250686324,0.325942514731837,0.349234735954487
"63",0.565897803999998,0.675264555621892,0.325834094022366,0.349430461599526
"64",0.565676486382452,0.675352642235839,0.325724685838405,0.349627956397434
"65",0.565453194392414,0.675441514669684,0.325614284591049,0.349827230078635
"66",0.565227917567617,0.675531177087516,0.325502884656364,0.350028292431152
"67",0.56500064538791,0.675621633676454,0.325390480374715,0.350231153301739
"68",0.56477136727408,0.675712888647133,0.325277066050104,0.350435822597029
"69",0.56454007258665,0.675804946234169,0.325162635949478,0.350642310284692
"70",0.564306750624671,0.675897810696648,0.325047184302043,0.350850626394605
"71",0.564071390624489,0.675991486318609,0.324930705298568,0.351060781020041
"72",0.563833981758514,0.676085977409547,0.324813193090673,0.351272784318874
"73",0.563594513133949,0.676181288304897,0.324694641790112,0.351486646514786
"74",0.563352973791528,0.676277423366554,0.324575045468048,0.351702377898506
"75",0.563109352704235,0.676374386983387,0.324454398154327,0.351919988829061
"76",0.562863638775986,0.676472183571747,0.32433269383672,0.352139489735027
"77",0.562615820840319,0.67657081757599,0.324209926460175,0.352360891115815
"78",0.562365887659065,0.676670293469028,0.324086089926062,0.352584203542966
"79",0.562113827920985,0.676770615752841,0.323961178091383,0.352809437661458
"80",0.561859630240408,0.67687178895904,0.323835184768005,0.353036604191034
"81",0.561603283155849,0.676973817649413,0.323708103721859,0.353265713927554
"82",0.561344775128607,0.677076706416488,0.323579928672139,0.353496777744349
"83",0.561084094541323,0.677180459884052,0.323450653290468,0.353729806593584
"84",0.560821229696587,0.677285082707825,0.32332027120012,0.353964811507706
"85",0.560556168815443,0.677390579575943,0.323188775975137,0.354201803600806
"86",0.560288900035936,0.677496955209599,0.323056161139509,0.35444079407009
"87",0.560019411411578,0.677604214363551,0.322922420166276,0.354681794197274
"88",0.559747690909912,0.677712361826883,0.322787546476729,0.354924815350154
"89",0.559473726410925,0.677821402423512,0.322651533439481,0.355169868984031
"90",0.559197505705477,0.677931341012744,0.322514374369545,0.355416966643199
"91",0.558919016493784,0.678042182490036,0.322376062527491,0.355666119962546
"92",0.558638246383796,0.678153931787569,0.322236591118497,0.355917340669072
"93",0.558355182889551,0.678266593874806,0.322095953291382,0.356170640583424
"94",0.558069813429623,0.678380173759354,0.321954142137753,0.3564260316216
"95",0.55778212532538,0.678494676487411,0.321811150690956,0.356683525796455
"96",0.557492105799343,0.678610107144542,0.321666971925146,0.356943135219395
"97",0.557199741973473,0.678726470856328,0.321521598754298,0.357204872102031
"98",0.556905020867452,0.678843772789074,0.321375024031205,0.357468748757868
"99",0.556607929396924,0.678962018150479,0.321227240546468,0.357734777604011
"100",0.556308454371726,0.679081212190358,0.321078241027459,0.358002971162899
"101",0.556006582494086,0.679201360201358,0.32092801813729,0.358273342064069
"102",0.555702300356799,0.67932246751968,0.320776564473745,0.358545903045935
"103",0.55539559444138,0.679444539525818,0.320623872568213,0.358820666957605
"104",0.555086451116183,0.679567581645298,0.320469934884591,0.359097646760707
"105",0.554774856634502,0.679691599349451,0.320314743818186,0.359376855531265
"106",0.554460797132635,0.679816598156165,0.320158291694586,0.35965830646158
"107",0.554144258627933,0.679942583630673,0.320000570768523,0.359942012862151
"108",0.55382522701681,0.680069561386343,0.319841573222718,0.360227988163625
"109",0.553503688072728,0.680197537085482,0.319681291166708,0.360516245918775
"110",0.553179627444147,0.68032651644014,0.319519716635645,0.360806799804495
"111",0.552853030652458,0.680456505212949,0.319356841589098,0.361099663623851
"112",0.552523883089874,0.680587509217961,0.319192657909819,0.361394851308143
"113",0.552192170017285,0.680719534321482,0.319027157402487,0.361692376918995
"114",0.551857876562094,0.680852586442947,0.31886033179245,0.361992254650498
"115",0.551520987716019,0.680986671555814,0.318692172724438,0.362294498831376
"116",0.551181488332848,0.681121795688419,0.318522671761245,0.362599123927174
"117",0.550839363126168,0.681257964924909,0.318351820382411,0.362906144542498
"118",0.550494596667068,0.681395185406142,0.318179609982862,0.36321557542328
"119",0.550147173381786,0.681533463330631,0.318006031871548,0.363527431459083
"120",0.549797077549341,0.681672804955484,0.31783107727004,0.363841727685445
"121",0.549444293299111,0.681813216597368,0.317654737311117,0.364158479286251
"122",0.549088804608378,0.681954704633482,0.317477003037328,0.364477701596154
"123",0.54873059529984,0.68209727550255,0.317297865399521,0.364799410103029
"124",0.54836964903908,0.68224093570584,0.317117315255367,0.365123620450473
"125",0.548005949331983,0.682385691808168,0.316935343367832,0.365450348440336
"126",0.547639479522127,0.682531550438954,0.316751940403651,0.365779610035303
"127",0.547270222788129,0.682678518293282,0.316567096931761,0.366111421361521
"128",0.546898162140937,0.682826602132961,0.316380803421705,0.366445798711256
"129",0.546523280421084,0.682975808787628,0.316193050242021,0.366782758545607
"130",0.546145560295904,0.683126145155859,0.316003827658593,0.367122317497266
"131",0.545764984256685,0.683277618206295,0.31581312583298,0.367464492373315
"132",0.545381534615789,0.68343023497879,0.315620934820708,0.367809300158081
"133",0.544995193503718,0.683584002585585,0.315427244569546,0.368156758016039
"134",0.544605942866124,0.68373892821249,0.315232044917736,0.368506883294754
"135",0.544213764460781,0.683895019120088,0.3150353255922,0.368859693527888
"136",0.543818639854495,0.684052282644978,0.314837076206721,0.369215206438256
"137",0.543420550419964,0.68421072620101,0.314637286260079,0.369573439940931
"138",0.543019477332579,0.684370357280565,0.314435945134161,0.369934412146404
"139",0.542615401567181,0.684531183455848,0.314233042092038,0.37029814136381
"140",0.542208303894746,0.6846932123802,0.314028566276002,0.370664646104199
"141",0.541798164879022,0.684856451789444,0.313822506705573,0.371033945083871
"142",0.541384964873101,0.685020909503243,0.313614852275467,0.371406057227776
"143",0.540968684015933,0.685186593426495,0.313405591753525,0.37178100167297
"144",0.540549302228775,0.685353511550736,0.313194713778606,0.37215879777213
"145",0.540126799211577,0.685521671955592,0.312982206858442,0.37253946509715
"146",0.539701154439301,0.685691082810227,0.312768059367446,0.372923023442781
"147",0.539272347158177,0.685861752374856,0.312552259544495,0.373309492830361
"148",0.538840356381881,0.68603368900224,0.312334795490647,0.373698893511593
"149",0.538405160887648,0.686206901139242,0.312115655166833,0.374091245972409
"150",0.537966739212327,0.686381397328427,0.311894826391511,0.374486570936916
"151",0.537525069648328,0.686557186209621,0.311672296838245,0.374884889371376
"152",0.537080130239525,0.686734276521582,0.311448054033268,0.375286222488314
"153",0.536631898777067,0.686912677103655,0.311222085352986,0.375690591750669
"154",0.536180352795111,0.687092396897468,0.310994378021431,0.376098018876037
"155",0.535725469566478,0.687273444948665,0.310764919107665,0.376508525840999
"156",0.535267226098216,0.68745583040867,0.310533695523142,0.376922134885529
"157",0.534805599127088,0.687639562536482,0.310300694018999,0.377338868517483
"158",0.534340565114964,0.687824650700509,0.310065901183317,0.377758749517192
"159",0.533872100244134,0.688011104380441,0.309829303438307,0.378181800942133
"160",0.533400180412511,0.68819893316915,0.309590887037453,0.378608046131697
"161",0.532924781228755,0.688388146774622,0.309350638062581,0.379037508712041
"162",0.532445878007299,0.688578755021969,0.309108542420897,0.379470212601072
"163",0.531963445763265,0.688770767855414,0.308864585841929,0.379906182013485
"164",0.53147745920729,0.688964195340386,0.308618753874439,0.380345441465947
"165",0.530987892740234,0.689159047665575,0.308371031883238,0.380788015782336
"166",0.530494720447805,0.689355335145151,0.308121405045984,0.381233930099167
"167",0.529997916095041,0.689553068220875,0.307869858349847,0.381683209871029
"168",0.52949745312071,0.689752257464396,0.307616376588169,0.382135880876227
"169",0.528993304631566,0.689952913579478,0.307360944357007,0.382591969222471
"170",0.528485443396516,0.690155047404366,0.307103546051626,0.383051501352739
"171",0.527973841840647,0.690358669914166,0.306844165862926,0.38351450405124
"172",0.527458472039121,0.690563792223228,0.306582787773751,0.383981004449477
"173",0.526939305710966,0.690770425587675,0.306319395555175,0.3844510300325
"174",0.526416314212704,0.69097858140788,0.306053972762655,0.384924608645224
"175",0.525889468531878,0.691188271231093,0.305786502732146,0.385401768498947
"176",0.525358739280414,0.691399506754064,0.305516968576098,0.385882538177966
"177",0.52482409668785,0.691612299825733,0.305245353179381,0.386366946646351
"178",0.524285510594417,0.691826662449985,0.304971639195117,0.386855023254868
"179",0.523742950443968,0.692042606788464,0.304695809040416,0.387346797748048
"180",0.523196385276769,0.692260145163474,0.304417844892034,0.38784230027144
"181",0.522645783722092,0.692479290060862,0.304137728681897,0.388341561378965
