"","z_SC","z_IC","z_IN"
"1",0.916522139051377,0.99979307907047,0.969436970659856
"2",0.916248781074986,0.999792401483791,0.969365414937565
"3",0.915922496766914,0.999791592705852,0.969280091906048
"4",0.915533348006017,0.999790628102514,0.969178453035592
"5",0.915069664384726,0.999789478745729,0.969057520840009
"6",0.914517798674157,0.999788110807397,0.968913834779568
"7",0.913861871290207,0.999786484925967,0.968743397781311
"8",0.913083524093988,0.99978455559616,0.968541629632103
"9",0.912161694067813,0.999782270607976,0.968303331029063
"10",0.911072443123189,0.999779570624826,0.968022668713079
"11",0.90978888746687,0.999776389008449,0.967693193649788
"12",0.908281276595424,0.99977265201472,0.967307905244907
"13",0.906517299825344,0.999768279553461,0.966859380452829
"14",0.904462706211898,0.99976318672507,0.966339986537931
"15",0.902082329888941,0.999757286362078,0.965742194791647
"16",0.899341612555235,0.999750492803022,0.965059008553203
"17",0.896208684740234,0.999742727051381,0.964284507042918
"18",0.89265700910555,0.999733923327671,0.963414488385081
"19",0.88866848990678,0.999724036777025,0.962447169488905
"20",0.884236817589908,0.999713051759623,0.961383870638642
"21",0.87937066558861,0.999700989774758,0.960229585347982
"22",0.874096219455589,0.999687915729925,0.958993319331053
"23",0.868458463327434,0.999673941129651,0.957688089924825
"24",0.862520725099357,0.999659222948094,0.956330514902059
"25",0.856362210398758,0.999643957516374,0.954939984522675
"26",0.850073607060528,0.999628369627162,0.953537489541418
"27",0.843751244963422,0.999612698058352,0.952144252261297
"28",0.837490626984556,0.999597179537909,0.950780353576209
"29",0.831380264667291,0.999582033464015,0.949463544269703
"30",0.825496648152585,0.999567449436773,0.94820838239124
"31",0.819900925007314,0.999553579025846,0.947025772300908
"32",0.814637423951458,0.999540532111147,0.945922889393582
"33",0.809733954021534,0.999528377624385,0.94490344268982
"34",0.805203370586363,0.999517147430834,0.943968150470133
"35",0.801045995903528,0.999506842329289,0.943115339126563
"36",0.797252385251934,0.999497438908629,0.942341565125269
"37",0.793806069122206,0.999488896345021,0.941642194439486
"38",0.79068601147682,0.999481162495341,0.941011897809678
"39",0.787868637767973,0.999474178924128,0.940445042499005
"40",0.785329420891588,0.999467884834769,0.939935986321215
"41",0.78304402272783,0.999462219899096,0.93947927921662
"42",0.780989065220333,0.999457126168701,0.939069790943689
"43",0.77914259674164,0.999452549230941,0.938702780134346
"44",0.777484328460771,0.99944843879483,0.938373920618882
"45",0.775995727913542,0.999444748922983,0.938079302633309
"46",0.774659991439087,0.99944143796329,0.937815413076982
"47",0.77346194803657,0.999438468310598,0.937579104938166
"48",0.772387936514863,0.999435806102201,0.937367563764412
"49",0.771425666225659,0.999433420872627,0.937178272803225
"50",0.770564076797397,0.999431285205956,0.937008979494725
"51",0.769793205753059,0.999429374407677,0.93685766475475
"52",0.769104067880546,0.999427666205675,0.936722515551498
"53",0.768488548054368,0.999426140484567,0.936601900901177
"54",0.767939307171912,0.999424779052534,0.936494351050958
"55",0.76744970065819,0.999423565439322,0.93639853961157
"56",0.767013708057474,0.999422484721714,0.936313268246711
"57",0.766625872093757,0.999421523372475,0.936237453522323
"58",0.766281245689507,0.999420669129025,0.936170115557384
"59",0.765975345544105,0.999419910878374,0.936110368153412
"60",0.765704111106871,0.999419238555422,0.936057410136
"61",0.765463867942044,0.999418643052154,0.936010517681594
"62",0.765251294701888,0.999418116135773,0.935969037451762
"63",0.765063393092115,0.999417650374248,0.93593238039491
"64",0.764897460353696,0.999417239068112,0.935900016106577
"65",0.764751063908162,0.999416876187604,0.935871467666513
"66",0.764622017902121,0.999416556314536,0.935846306890453
"67",0.764508361456394,0.999416274588373,0.93582414995009
"68",0.764408338475439,0.999416026656192,0.935804653326128
"69",0.76432037890752,0.999415808626221,0.935787510067384
"70",0.764243081369662,0.999415617024781,0.935772446334571
"71",0.764175197066044,0.999415448756416,0.935759218211108
"72",0.764115614932829,0.999415301067073,0.935747608764862
"73",0.76406334796093,0.999415171510203,0.935737425348926
"74",0.764017520519943,0.999415057915334,0.935728497105017
"75",0.763977357129491,0.999414958360242,0.935720672754838
"76",0.763942171899046,0.999414871144776,0.935713818526386
"77",0.763911358719832,0.999414794766541,0.935707816230491
"78",0.763884382727239,0.99941472789974,0.935702561587771
"79",0.763860772457664,0.999414669375733,0.935697962693137
"80",0.763840112759485,0.999414618165461,0.935693938628979
"81",0.763822038419764,0.999414573363652,0.935690418219149
"82",0.763806228441474,0.999414534174634,0.935687338910739
"83",0.763792400919311,0.999414499899634,0.93568464577328
"84",0.763780308462536,0.99941446992543,0.935682290605144
"85",0.763769734114884,0.999414443714243,0.935680231137251
"86",0.763760487725232,0.999414420794734,0.935678430324964
"87",0.763752402725463,0.999414400754024,0.935676855719586
"88",0.763745333274996,0.999414383230608,0.935675478911497
"89",0.763739151734526,0.999414367908101,0.935674275037587
"90",0.763733746434494,0.999414354509702,0.935673222346226
"91",0.763729019706773,0.999414342793315,0.935672301813594
"92",0.763724886150815,0.999414332547254,0.935671496805762
"93",0.763721271108206,0.99941432358646,0.935670792781417
"94",0.763718109322065,0.999414315749175,0.93567017703063
"95",0.763715343760077,0.999414308894032,0.935669638445536
"96",0.763712924582138,0.99941430289749,0.935669167319191
"97",0.763710808235575,0.999414297651591,0.935668755169312
"98",0.76370895666274,0.999414293062001,0.935668394583901
"99",0.763707336607484,0.999414289046285,0.935668079086148
"100",0.763705919008493,0.999414285532409,0.935667803016257
"101",0.763704678468858,0.999414282457419,0.935667561428124
