"","z_SC","z_IC","z_IN"
"1",0.901583993382477,0.999756051109378,0.965617572180703
"2",0.898136468269989,0.999747505549001,0.964760279804299
"3",0.893914606309543,0.999737040599477,0.963721598463719
"4",0.888725449167352,0.999724177964916,0.962460913398579
"5",0.882320769148567,0.999708302350379,0.960927752579062
"6",0.874378912650253,0.999688616456297,0.9590592002815
"7",0.864480139898149,0.999664079851791,0.956776625542382
"8",0.852073307284536,0.999633326388444,0.953981617109792
"9",0.836430914623708,0.999594552773588,0.95055098410383
"10",0.816589242042231,0.999545370184488,0.9463308083817
"11",0.791270074920887,0.999482610243875,0.941129682436286
"12",0.758781094655912,0.999402078113325,0.934711540721436
"13",0.716894838049417,0.999298252463589,0.926789054980599
"14",0.662711916711068,0.999163946429384,0.917019305950947
"15",0.592525371239296,0.998989971377023,0.905004486715176
"16",0.501721461615363,0.998764890988393,0.890301617658745
"17",0.384778363070459,0.998475018028329,0.872446346114753
"18",0.235455515448158,0.998104883694759,0.850996376843826
"19",0.0472939799372644,0.997638477879046,0.825599236920669
"20",0,0.99706154831432,0.79608481451213
"21",0,0.996358746153369,0.762279076956662
"22",0,0.995514847377417,0.724055924628185
"23",0,0.994520447391825,0.681558682861364
"24",0,0.993370914384866,0.635085578538382
"25",0,0.992066633980113,0.585058010321016
"26",0,0.990612553818776,0.531975248208761
"27",0,0.98901715669829,0.476364501733398
"28",0,0.987291095212075,0.418734571279692
"29",0,0.985445736469727,0.359538523285265
"30",0,0.983491818417636,0.299147707161497
"31",0,0.981438318472582,0.237836182082179
"32",0,0.97929154881383,0.175772935713276
"33",0,0.977054422492254,0.113018463119158
"34",0,0.974725791114705,0.0495222363419683
"35",0,0.972303814403718,0
"36",0,0.969894504514629,0
"37",0,0.967571596467497,0
"38",0,0.965361635108803,0
"39",0,0.963284623759766,0
"40",0,0.961354080773066,0
"41",0,0.959577522202973,0
"42",0,0.957957293793664,0
"43",0,0.956491418959461,0
"44",0,0.955174595471949,0
"45",0,0.953999081703563,0
"46",0,0.952955503901617,0
"47",0,0.952033535542767,0
"48",0,0.951222446520803,0
"49",0,0.95051151806451,0
"50",0,0.949890359775084,0
"51",0,0.949349118545328,0
"52",0,0.948878613523092,0
"53",0,0.948470410589845,0
"54",0,0.948116850041658,0
"55",0,0.947811041287578,0
"56",0,0.947546834266567,0
"57",0,0.947318776054836,0
"58",0,0.947122058609014,0
"59",0,0.946952462364833,0
"60",0,0.946806298909081,0
"61",0,0.946680354954968,0
"62",0,0.946571839145379,0
"63",0,0.946478332520698,0
"64",0,0.946397743137519,0
"65",0,0.946328264995222,0
"66",0,0.946268341216481,0
"67",0,0.946216631310876,0
"68",0,0.946171982253425,0
"69",0,0.946133403072398,0
"70",0,0.946100042622173,0
"71",0,0.946071170214263,0
"72",0,0.946046158793838,0
"73",0,0.946024470366559,0
"74",0,0.946005643403734,0
"75",0,0.945989281978784,0
"76",0,0.945975046412537,0
"77",0,0.945962645229328,0
"78",0,0.945951828248569,0
"79",0,0.945942380657548,0
"80",0,0.945934117930362,0
"81",0,0.945926881475962,0
"82",0,0.945920534911421,0
"83",0,0.945914960878925,0
"84",0,0.945910058302454,0
"85",0,0.945905740068615,0
"86",0,0.945901931033281,0
"87",0,0.945898566311887,0
"88",0,0.945895589822927,0
"89",0,0.945892953041556,0
"90",0,0.945890613933844,0
"91",0,0.945888536045457,0
"92",0,0.9458866877219,0
"93",0,0.945885041441245,0
"94",0,0.945883573242847,0
"95",0,0.945882262238009,0
"96",0,0.945881090190622,0
"97",0,0.945880041157545,0
"98",0,0.945879101180033,0
"99",0,0.945878258018614,0
"100",0,0.9458775009251,0
"101",0,0.945876820448197,0
