,x
1,0.8
2,16.902
3,23.11075
4,46.74463
5,59.12319
6,52.9127
7,70.1901
8,77.1028
9,83.1297
10,78.218
11,57.3124
12,68.1122
13,57.1281
14,81.1245
15,90.3547
16,72.124049
17,69.938249
18,63.3124
19,55.42399
20,47.42399
21,37.12
22,28.12098
23,18.88361
24,12.44223
25,13.23913
26,6.13864
27,7.99362
28,4.2846
29,1.53
30,5.0003
31,8.1269
32,0.273
33,1.366
34,0.91273
35,4.129
36,3.123
37,0.1253
38,0.127
39,0.812
40,0
