"","x"
"1",430.8
"2",430.21
"3",432.32
"4",432.48
"5",432.1
"6",430.97
"7",428.41
"8",430.76
"9",424.83
"10",423.71
"11",419.89
"12",414.78
"13",408.87
"14",403.19
"15",394.07
"16",387.28
"17",376.88
"18",364.83
"19",355.63
"20",339.37
