"","zC_0.05","zC_0.25","zC_0.5","zC_0.75","zC_0.9","zN_0.05","zN_0.25","zN_0.5","zN_0.75","zN_0.9"
"600",0,0,0,0,0,0.00272344089077015,0.0135432348772334,0.0269030505435279,0.0400819310883372,0.0479034313286393
"601",0,0,0,0,0,0.00277266762286155,0.013786674115474,0.0273832758477818,0.0407924256629282,0.0487490152045301
"602",0,0,0,0,0,0.00282180230734463,0.0140296102252114,0.0278623904873504,0.0415011022340817,0.0495923106356002
"603",0,0,0,0,0,0.00287084520209702,0.0142720447572475,0.0283403982529431,0.0422079675778864,0.0504333265689648
"604",0,0,0,0,0,0.00291979656402752,0.014513979256047,0.028817302918249,0.0429130284375243,0.0512720719064196
"605",0,0,0,0,0,0.00296865664909274,0.0147554152597623,0.0292931082400377,0.0436162915234701,0.052108555504722
"606",0,0,0,0,0,0.00301742571229657,0.014996354300276,0.0297678179582527,0.0443177635136797,0.0529427861758726
"607",0,0,0,0,0,0.00306610400769092,0.0152367979032199,0.0302414357960972,0.0450174510537886,0.053774772687383
"608",0,0,0,0,0,0.00311469178838364,0.0154767475880202,0.0307139654601361,0.0457153607573015,0.0546045237625616
"609",0,0,0,0,0,0.00316318930654558,0.0157162048679161,0.0311854106403809,0.0464114992057818,0.055432048080773
"610",0,0,0,0,0,0.00321159681340777,0.0159551712500006,0.0316557750103853,0.0471058729490447,0.0562573542777237
"611",0,0,0,0,0,0.00325991455927288,0.0161936482352503,0.0321250622273336,0.0477984885053389,0.0570804509457156
"612",0,0,0,0,0,0.0033081427935181,0.0164316373185494,0.0325932759321302,0.0484893523615405,0.0579013466339201
"613",0,0,0,0,0,0.00335628176459191,0.0166691399887284,0.033060419749493,0.0491784709733321,0.0587200498486422
"614",0,0,0,0,0,0.00340433172003207,0.0169061577285923,0.0335264972880394,0.0498658507653917,0.0595365690535852
"615",0,0,0,0,0,0.00345229290645477,0.0171426920149449,0.0339915121403717,0.050551498131573,0.0603509126701044
"616",0,0,0,0,0,0.00350016556957045,0.0173787443186332,0.034455467883174,0.0512354194350866,0.0611630890774748
"617",0,0,0,0,0,0.00354794995418506,0.0176143161045588,0.0349183680772863,0.0519176210086764,0.0619731066131387
"618",0,0,0,0,0,0.00359564630419906,0.0178494088317236,0.0353802162678053,0.05259810915481,0.0627809735729672
"619",0,0,0,0,0,0.00364325486261652,0.0180840239532508,0.0358410159841598,0.0532768901458452,0.0635866982115149
"620",0,0,0,0,0,0.00369077587155042,0.0183181629164174,0.0363007707402023,0.0539539702242102,0.0643902887422656
"621",0,0,0,0,0,0.00373820957222371,0.0185518271626821,0.0367594840342912,0.0546293556025808,0.065191753337885
"622",0,0,0,0,0,0.00378555620497101,0.0187850181277156,0.0372171593493736,0.0553030524640503,0.0659911001304706
"623",0,0,0,0,0,0.00383281600924901,0.0190177372414292,0.0376738001530744,0.0559750669623064,0.0667883372117938
"624",0,0,0,0,0,0.00387998922363786,0.0192499859280018,0.0381294098977742,0.0566454052218008,0.0675834726335475
"625",0,0,0,0,0,0.00392707608584042,0.0194817656059112,0.0385839920206987,0.0573140733379223,0.0683765144075873
"626",0,0,0,0,0,0.00397407683269724,0.0197130776879615,0.0390375499439914,0.0579810773771593,0.0691674705061706
"627",0,0,0,0,0,0.00402099170017667,0.0199439235813099,0.0394900870748037,0.0586464233772744,0.0699563488621997
"628",0,0,0,0,0,0.00406782092339031,0.0201743046874989,0.0399416068053737,0.0593101173474728,0.0707431573694604
"629",0,0,0,0,0,0.00411456473659111,0.0204042224024756,0.0403921125131027,0.0599721652685563,0.0715279038828457
"630",0,0,0,0,0,0.00416122337317948,0.0206336781166339,0.0408416075606458,0.0606325730931064,0.0723105962186094
"631",0,0,0,0,0,0.00420779706570473,0.020862673214822,0.0412900952959766,0.0612913467456309,0.0730912421545797
"632",0,0,0,0,0,0.00425428604587319,0.0210912090763916,0.0417375790524801,0.0619484921227345,0.0738698494304033
"633",0,0,0,0,0,0.00430069054454529,0.0213192870752095,0.0421840621490249,0.062604015093282,0.0746464257477713
"634",0,0,0,0,0,0.00434701079174893,0.0215469085796913,0.04262954789004,0.06325792149855,0.0754209787706365
"635",0,0,0,0,0,0.00439324701667276,0.0217740749528228,0.0430740395655945,0.0639102171523952,0.0761935161254579
"636",0,0,0,0,0,0.00443939944767879,0.0220007875521987,0.0435175404514794,0.0645609078414099,0.0769640454014111
"637",0,0,0,0,0,0.00448546831229968,0.0222270477300334,0.0439600538092736,0.0652099993250734,0.0777325741506125
"638",0,0,0,0,0,0.00453145383724862,0.0224528568332013,0.0444015828864294,0.0658574973359142,0.0784991098883476
"639",0,0,0,0,0,0.00457735624841449,0.0226782162032534,0.0448421309163453,0.0665034075796632,0.0792636600932829
"640",0,0,0,0,0,0.00462317577087668,0.0229031271764494,0.0452817011184381,0.067147735735406,0.0800262322076896
"641",0,0,0,0,0,0.00466891262889735,0.0231275910837808,0.0457202966982241,0.0677904874557392,0.0807868336376573
"642",0,0,0,0,0,0.00471456704593409,0.0233516092509978,0.0461579208473843,0.0684316683669155,0.081545471753309
"643",0,0,0,0,0,0.00476013924463825,0.0235751829986328,0.0465945767438477,0.0690712840690014,0.0823021538890135
"644",0,0,0,0,0,0.00480562944686269,0.0237983136420308,0.0470302675518581,0.0697093401360221,0.0830568873436033
"645",0,0,0,0,0,0.00485103787366026,0.0240210024913704,0.0474649964220514,0.0703458421161158,0.0838096793805806
"646",0,0,0,0,0,0.00489636474528943,0.0242432508516898,0.0478987664915216,0.0709807955316708,0.0845605372283225
"647",0,0,0,0,0,0.00494161028122364,0.0244650600229132,0.0483315808839005,0.0716142058794869,0.0853094680802969
"648",0,0,0,0,0,0.00498677470014353,0.0246864312998744,0.0487634427094255,0.0722460786309072,0.0860564790952657
"649",0,0,0,0,0,0.00503185821995011,0.024907365972342,0.0491943550650039,0.0728764192319686,0.0868015773974836
"650",0,0,0,0,0,0.0050768610577645,0.0251278653250462,0.0496243210342997,0.0735052331035501,0.0875447700769142
"651",0,0,0,0,0,0.00512178342993064,0.0253479306377012,0.0500533436877877,0.0741325256415059,0.0882860641894172
"652",0,0,0,0,0,0.0051666255520213,0.0255675631850263,0.0504814260828322,0.0747583022168155,0.0890254667569593
"653",0,0,0,0,0,0.00521138763883944,0.0257867642367774,0.0509085712637517,0.0753825681757195,0.0897629847678105
