"","PC","PN","0.25","0.5","0.75"
"1",0.75,1,0.9375,0.875,0.8125
"2",0.748796419197413,0.998317382062055,0.935937141345895,0.873556900629734,0.811176659913574
"3",0.747597657417183,0.996641501165315,0.934380540228282,0.872119579291249,0.809858618354216
"4",0.746403685774778,0.994972316928919,0.932830159140384,0.870688001351848,0.808545843563313
"5",0.745214475616047,0.993309789294076,0.931285960874568,0.869262132455061,0.807238304035554
"6",0.744029998514925,0.991653878520865,0.92974790851938,0.867841938517895,0.80593596851641
"7",0.74285022627117,0.990004545185068,0.928215965456593,0.866427385728119,0.804638805999644
"8",0.741675130908123,0.988361750175037,0.926690095358309,0.86501844054158,0.803346785724851
"9",0.740504684670498,0.986725454688607,0.92517026218408,0.863615069679553,0.802059877175025
"10",0.739338860022198,0.985095620230039,0.923656430178079,0.862217240126119,0.800778050074158
"11",0.738177629644153,0.983472208606999,0.922148563866288,0.860824919125576,0.799501274384864
"12",0.737020966432184,0.981855181927581,0.920646628053732,0.859438074179883,0.798229520306034
"13",0.735868843494903,0.980244502597352,0.91915058782174,0.858056673046127,0.796962758270515
"14",0.734721234151618,0.978640133316441,0.917660408525236,0.85668068373403,0.795700958942824
"15",0.733578111930282,0.977042037076663,0.916176055790068,0.855310074503472,0.794444093216877
"16",0.732439450565452,0.975450177158666,0.914697495510363,0.853944813862059,0.793192132213755
"17",0.73130522399628,0.973864517129127,0.913224693845915,0.852584870562703,0.791945047279492
"18",0.730175406364524,0.972285020837967,0.911757617219606,0.851230213601245,0.790702809982885
"19",0.729049972012585,0.970711652415603,0.910296232314849,0.849880812214094,0.789465392113339
"20",0.727928895481559,0.96914437627024,0.90884050607307,0.848536635875899,0.788232765678729
"21",0.726812151509325,0.967583157085176,0.907390405691213,0.847197654297251,0.787004902903288
"22",0.725699715028641,0.96602795981616,0.90594589861928,0.8458638374224,0.785781776225521
"23",0.724591561165272,0.964478749688763,0.90450695255789,0.844535155427017,0.784563358296144
"24",0.723487665236134,0.962935492195789,0.903073535455875,0.843211578715961,0.783349621976047
"25",0.722388002747462,0.961398153094711,0.901645615507899,0.841893077921087,0.782140540334275
"26",0.721292549393002,0.959866698405142,0.900223161152107,0.840579623899072,0.780936086646037
"27",0.720201281052211,0.958341094406325,0.898806141067797,0.839271187729268,0.77973623439074
"28",0.719114173788498,0.956821307634667,0.897394524173124,0.837967740711582,0.77854095725004
"29",0.718031203847465,0.955307304881281,0.895988279622827,0.836669254364373,0.777350229105919
"30",0.71695234765518,0.953799053189579,0.89458737680598,0.83537570042238,0.77616402403878
"31",0.715877581816467,0.952296519852872,0.893191785343771,0.834087050834669,0.774982316325568
"32",0.714806883113215,0.950799672412008,0.89180147508731,0.832803277762612,0.773805080437914
"33",0.713740228502706,0.949308478653037,0.890416416115454,0.831524353577871,0.772632291040289
"34",0.712677595115959,0.947822906604897,0.889036578732663,0.830250250860428,0.771463922988193
"35",0.711618960256098,0.946342924537132,0.887661933466874,0.828980942396615,0.770299951326357
"36",0.710564301396739,0.944868500957631,0.886292451067408,0.827716401177185,0.769140351286962
"37",0.709513596180387,0.943399604610392,0.884928102502891,0.82645660039539,0.767985098287888
"38",0.708466822416858,0.941936204473319,0.883568858959204,0.825201513445089,0.766834167930973
"39",0.707423958081718,0.940478269756034,0.882214691837455,0.823951113918876,0.765687536000297
"40",0.706384981314738,0.939025769897718,0.880865572751973,0.822705375606228,0.764545178460483
"41",0.705349870418364,0.937578674564976,0.879521473528323,0.82146427249167,0.763407071455017
"42",0.70431860385621,0.936136953649726,0.878182366201347,0.820227778752968,0.762273191304589
"43",0.703291160251563,0.934700577267111,0.876848223013224,0.818995868759337,0.76114351450545
"44",0.702267518385906,0.933269515753431,0.87551901641155,0.817768517069669,0.760018017727787
"45",0.701247657197457,0.931843739664106,0.874194719047444,0.816545698430782,0.758896677814119
"46",0.700231555779724,0.930423219771654,0.872875303773671,0.815327387775689,0.757779471777706
"47",0.699219193380078,0.929007927063691,0.871560743642788,0.814113560221885,0.756666376800981
"48",0.698210549398339,0.927597832740961,0.870251011905306,0.81290419106965,0.755557370233995
"49",0.697205603385379,0.92619290821538,0.86894608200788,0.811699255800379,0.754452429592879
"50",0.696204335041739,0.924793125108103,0.867645927591512,0.810498730074921,0.75335153255833
"51",0.695206724216265,0.923398455247615,0.866350522489777,0.80930258973194,0.752254656974103
"52",0.694212750904754,0.92200887066784,0.865059840727068,0.808110810786297,0.751161780845525
"53",0.693222395248615,0.920624343606272,0.863773856516858,0.806923369427444,0.750072882338029
"54",0.692235637533551,0.919244846502128,0.862492544259984,0.80574024201784,0.748987939775695
"55",0.691252458188248,0.917870351994515,0.861215878542948,0.804561405091381,0.747906931639815
"56",0.69027283778308,0.916500832920625,0.859943834136239,0.803386835351853,0.746829836567467
"57",0.689296757028834,0.915136262313943,0.858676385992666,0.802216509671388,0.745756633350111
"58",0.688324196775438,0.913776613402478,0.857413509245718,0.801050405088958,0.744687300932198
"59",0.687355138010711,0.912421859607014,0.856155179207938,0.799888498808863,0.743621818409787
"60",0.686389561859126,0.911071974539375,0.854901371369313,0.798730768199251,0.742560165029189
"61",0.685427449580582,0.909726932000714,0.853652061395681,0.797577190790648,0.741502320185615
"62",0.684468782569191,0.908386705979815,0.852407225127159,0.796427744274503,0.740448263421847
"63",0.683513542352083,0.90705127065142,0.851166838576586,0.795282406501752,0.739397974426918
"64",0.682561710588214,0.905720600374568,0.84993087792798,0.794141155481391,0.738351433034803
"65",0.681613269067196,0.904394669690955,0.848699319535016,0.793003969379076,0.737308619223136
