"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"2",0.0991856441653839,0.0951982357548834,0.0925950456443411,0.0912608424795094,0.090660423379607,0.0904092803642162,0.0903083139981111,0.0902685523347124,0.0902530564923601,0.0902470486810845,0.0902447253189091,0.0902438279235484,0.0902434815111492,0.0902433478272917,0.0902432962444575,0.0902432763421611,0.0902432686634609,0.0902432657009134,0.0902432645578877,0.0902432641169636,0.0902432639468329
"3",0.126773552608815,0.121427660405852,0.117675553922946,0.115612521700376,0.114606995496213,0.114148978177812,0.113948047322991,0.113861658170434,0.113824901300216,0.11380934395749,0.113802776336468,0.113800007252151,0.11379884043215,0.113798348904079,0.113798141873253,0.113798054677738,0.1137980179544,0.113798002488242,0.113797995974686,0.113797993231481,0.113797992076107
"4",0.153439257900965,0.146805871113043,0.141807627380543,0.138872734128872,0.137327555176638,0.136561478790654,0.136194495866781,0.13602208256558,0.135941947566061,0.13590491771575,0.135887858861878,0.135880012715799,0.135876406855562,0.135874750391439,0.135873989600904,0.13587364021673,0.13587347977435,0.135873406098691,0.135873372267067,0.135873356731694,0.135873349597965
"5",0.179207944803534,0.1714388752447,0.165152518768628,0.161231655120542,0.159011914679009,0.157816928546338,0.15719217866715,0.156871325694304,0.156708338387889,0.156626091464017,0.156584751466327,0.156564020494531,0.156553638192464,0.156548442518251,0.156545843508964,0.156544543720479,0.156543893767434,0.156543568784196,0.156543406295372,0.156543325054017,0.156543284435311
"6",0.204097115321427,0.195421984320606,0.187864472049322,0.182887080469726,0.17987608192937,0.178124235288408,0.177127175778265,0.176567846679684,0.176257259286866,0.176086039354285,0.175992122594645,0.175940781503709,0.175912776918337,0.17589752295642,0.175889221492931,0.175884706136383,0.175882250935694,0.175880916196557,0.17588019066745,0.17587979631624,0.175879581980871
"7",0.228118422920568,0.218840764171061,0.210087837968268,0.204037507275486,0.200157111369,0.197734697443833,0.19624165788864,0.195329464937498,0.194776358873996,0.194443236611505,0.194243741814193,0.194124808307831,0.194054142879442,0.194012258744722,0.193987475896232,0.193972828932937,0.193964179139476,0.193959073609922,0.193956061086609,0.193954283928239,0.193953235685976
"8",0.251279054889474,0.24177185945867,0.231954555712648,0.22487364431112,0.220101201178682,0.216934892056583,0.214839514972302,0.213454139406827,0.212540442663542,0.211940270085556,0.211547939641963,0.21129271015334,0.211127388770688,0.211020690298128,0.210952024066181,0.210907930275069,0.210879661642131,0.210861560017274,0.21084997860052,0.210842573258424,0.210837840154134
"9",0.273582789678077,0.264283752254656,0.253582365713721,0.245570081182458,0.239946927585423,0.236026088660616,0.23327242246416,0.23132315400392,0.229936731915625,0.22894938598371,0.228247222051026,0.227749377762187,0.227397735134694,0.227150336192644,0.226976922118916,0.226855764721432,0.226771350500754,0.226712669113927,0.226671949585809,0.226643733751622,0.226624203349569
"10",0.295030813976226,0.286437483172356,0.275073908129669,0.266278728259713,0.259907779318308,0.255293619668112,0.25190110313713,0.249366713700283,0.247449732503662,0.245987874178611,0.244868130679188,0.244009093976529,0.243350378951265,0.242846192866488,0.242461295631457,0.242168346453821,0.241946069173329,0.24177791734375,0.241651060615309,0.241555592050604,0.24148389823168
"11",0.315622357195582,0.308287344708313,0.296516678966195,0.287125022316455,0.280158711408427,0.274976224353453,0.271042158829928,0.267990028050244,0.265577759431931,0.263643602074797,0.262076367170156,0.260797056734576,0.259747697733883,0.258884473794811,0.258173404959266,0.257587561207513,0.257105220104757,0.256708618791441,0.256383087288873,0.256116430059896,0.255898471101661
"12",0.335355183208017,0.329881546325299,0.317983693528213,0.308207074482289,0.300829741730222,0.295246479299727,0.29092443940004,0.28749400786169,0.284710116455476,0.282409192059775,0.280479344107359,0.27884174148658,0.277439205497171,0.276229143570425,0.275179067242486,0.274263669822375,0.273462868029346,0.272760455828862,0.272143157816546,0.271599950180894,0.271121565155264
"13",0.354225967292501,0.351262846464288,0.339534651158525,0.329597260660801,0.322006784572235,0.316207389871877,0.311674154066441,0.308036855921622,0.305048470072752,0.302543711953672,0.300409465924858,0.298566097245387,0.296955941506181,0.295536154835253,0.29427417337422,0.293144751368726,0.292127975708374,0.291207900399596,0.290371585162748,0.289608404165617,0.288909539548894
"14",0.372230578179852,0.372469145805593,0.361217393194086,0.351345411558864,0.343737680596487,0.337902207213083,0.333328478535733,0.329649355056385,0.326618171073016,0.32406944167293,0.321889820759875,0.319999514538402,0.318340768383112,0.316870696734785,0.315556724879877,0.314373614831807,0.313301472105057,0.312324375429644,0.311429412503934,0.310605987075682,0.30984531155225
"15",0.389364279553267,0.3935340370788,0.383069477211457,0.373482742902867,0.366040640259269,0.360330464531573,0.355863187667029,0.352278901831353,0.349334002546224,0.346864654713197,0.34475859438568,0.342936828892394,0.34134223555323,0.339932443922273,0.338675307146615,0.337545947173348,0.336524775321079,0.335596132334656,0.334747332098582,0.333967974953977,0.333249445249437
"16",0.405621861511795,0.414487308465834,0.405119735666248,0.396025851326653,0.388912806441335,0.383464033898809,0.379219983798206,0.375832809306512,0.373065177260146,0.370757138763134,0.36879912489976,0.367114143701191,0.365646621850608,0.3643554231634,0.363209404547696,0.362184517594316,0.361261868576917,0.360426387031283,0.359665890637608,0.358970414566158,0.358331721376887
"17",0.42099770976364,0.435355399506827,0.427389732347613,0.418980349987919,0.412337604690254,0.407259938245547,0.403326622556139,0.400207651218997,0.397675842885051,0.395577850278488,0.393808761005064,0.392295041455314,0.390983778628211,0.389835936057142,0.388822061307713,0.387919489459226,0.387110474320019,0.386380908295527,0.385719425111685,0.38511675764784,0.384565269654421
"18",0.435485818291293,0.456161810061758,0.449895068290723,0.442343938891381,0.436290403835031,0.431669182666623,0.428109154524494,0.425304799261853,0.423043470309746,0.421181416753496,0.419620487820506,0.418292126405294,0.417147199950189,0.416149614684288,0.415272254031451,0.414494337509595,0.413799660178761,0.413175389991136,0.412611227269909,0.412098804933607,0.411631252414195
"19",0.449079749639355,0.476927464162591,0.472646517347496,0.466108861256907,0.460742540738088,0.456642186731579,0.453498232367176,0.451036795607613,0.449064302050683,0.447449569724143,0.446103209775148,0.444963020926549,0.443984623148665,0.443135563489122,0.442391570678737,0.441734125444926,0.441148845851837,0.440624388016516,0.440151680481018,0.439723379756339,0.439333475795402
