"","zC_0.05","zC_0.25","zC_0.5","zC_0.75","zC_0.9","zN_0.05","zN_0.25","zN_0.5","zN_0.75","zN_0.9"
"1",0.906985510789336,0.846645033155072,0.71349520313981,0.46473857148101,0.221199216928595,0,0,0,0,0
"2",0.906561250902049,0.846093071781241,0.712808148470752,0.464097162230644,0.220826053059919,0,0,0,0,0
"3",0.906136766184905,0.845541345691358,0.712122206994234,0.463457557125472,0.220454205574029,0,0,0,0,0
"4",0.905712060823072,0.844989858265165,0.711437377954131,0.46281974901727,0.220083667559732,0,0,0,0,0
"5",0.905287138975779,0.844438612848281,0.710753660574945,0.462183730791774,0.219714432153791,0,0,0,0,0
"6",0.904862004776419,0.843887612752465,0.710071054062102,0.461549495368517,0.219346492540517,0,0,0,0,0
"7",0.904436662332645,0.843336861255879,0.709389557602246,0.460917035700669,0.218979841951359,0,0,0,0,0
"8",0.904011115726465,0.842786361603344,0.708709170363534,0.460286344774874,0.218614473664504,0,0,0,0,0
"9",0.903585369014349,0.842236117006597,0.70802989149592,0.459657415611096,0.218250381004472,0,0,0,0,0
"10",0.903159426227324,0.841686130644551,0.707351720131445,0.459030241262457,0.217887557341724,0,0,0,0,0
"11",0.902733291371072,0.841136405663544,0.706674655384511,0.458404814815079,0.217525996092273,0,0,0,0,0
"12",0.902306968426037,0.840586945177595,0.705998696352167,0.457781129387926,0.217165690717292,0,0,0,0,0
"13",0.90188046134752,0.840037752268653,0.705323842114375,0.457159178132646,0.216806634722733,0,0,0,0,0
"14",0.901453774065784,0.839488829986848,0.704650091734285,0.456538954233411,0.216448821658943,0,0,0,0,0
"15",0.901026910486155,0.838940181350739,0.703977444258502,0.455920450906765,0.216092245120299,0,0,0,0,0
"16",0.900599874489124,0.838391809347558,0.70330589871735,0.455303661401465,0.215736898744822,0,0,0,0,0
"17",0.900172669930449,0.837843716933456,0.702635454125131,0.454688578998322,0.215382776213819,0,0,0,0,0
"18",0.899745300641259,0.837295907033749,0.701966109480383,0.454075197010049,0.215029871251512,0,0,0,0,0
"19",0.899317770428156,0.836748382543155,0.701297863766136,0.453463508781102,0.214678177624683,0,0,0,0,0
"20",0.89889008307332,0.836201146326036,0.700630715950161,0.452853507687531,0.214327689142309,0,0,0,0,0
"21",0.898462242334612,0.835654201216637,0.69996466498522,0.452245187136818,0.213978399655217,0,0,0,0,0
"22",0.898034251945676,0.835107550019323,0.699299709809307,0.451638540567726,0.213630303055727,0,0,0,0,0
"23",0.897606115616047,0.834561195508815,0.698635849345894,0.45103356145015,0.213283393277306,0,0,0,0,0
"24",0.897177837031253,0.83401514043042,0.697973082504167,0.450430243284956,0.21293766429423,0,0,0,0,0
"25",0.89674941985292,0.833469387500269,0.697311408179263,0.449828579603832,0.212593110121233,0,0,0,0,0
"26",0.896320867718877,0.832923939405544,0.696650825252502,0.449228563969138,0.212249724813186,0,0,0,0,0
"27",0.895892184243263,0.832378798804708,0.695991332591618,0.448630189973751,0.211907502464749,0,0,0,0,0
"28",0.895463373016626,0.831833968327732,0.695332929050984,0.448033451240915,0.211566437210047,0,0,0,0,0
"29",0.895034437606038,0.831289450576326,0.694675613471838,0.447438341424089,0.211226523222346,0,0,0,0,0
"30",0.894605381555191,0.830745248124158,0.694019384682504,0.446844854206801,0.210887754713727,0,0,0,0,0
"31",0.89417620838451,0.830201363517076,0.693364241498608,0.446252983302491,0.210550125934763,0,0,0,0,0
"32",0.893746921591252,0.82965779927334,0.6927101827233,0.44566272245437,0.210213631174206,0,0,0,0,0
"33",0.89331752464962,0.829114557883829,0.692057207147458,0.445074065435267,0.209878264758669,0,0,0,0,0
"34",0.892888021010859,0.82857164181227,0.691405313549908,0.44448700604748,0.209544021052319,0,0,0,0,0
"35",0.89245841410337,0.828029053495449,0.690754500697623,0.44390153812263,0.209210894456565,0,0,0,0,0
"36",0.892028707332814,0.827486795343429,0.690104767345936,0.443317655521513,0.208878879409759,0,0,0,0,0
"37",0.891598904082217,0.826944869739767,0.689456112238736,0.442735352133957,0.208547970386884,0,0,0,0,0
"38",0.891169007712073,0.826403279041722,0.688808534108672,0.442154621878672,0.208218161899266,0,0,0,0,0
"39",0.890739021560457,0.825862025580468,0.68816203167735,0.441575458703103,0.20788944849427,0,0,0,0,0
"40",0.890308948943127,0.825321111661306,0.687516603655525,0.440997856583291,0.20756182475501,0,0,0,0,0
"41",0.889878793153629,0.82478053956387,0.686872248743299,0.440421809523726,0.207235285300057,0,0,0,0,0
"42",0.889448557463406,0.824240311542337,0.686228965630304,0.439847311557201,0.206909824783153,0,0,0,0,0
"43",0.889018245121903,0.823700429825627,0.685586752995897,0.43927435674467,0.206585437892927,0,0,0,0,0
"44",0.888587859356672,0.823160896617614,0.684945609509339,0.438702939175109,0.206262119352607,0,0,0,0,0
"45",0.888157403373479,0.822621714097324,0.684305533829982,0.438133052965368,0.205939863919747,0,0,0,0,0
"46",0.88772688035641,0.822082884419138,0.68366652460745,0.437564692260034,0.205618666385947,0,0,0,0,0
"47",0.887296293467978,0.821544409712991,0.683028580481812,0.436997851231287,0.205298521576581,0,0,0,0,0
"48",0.886865645849223,0.821006292084573,0.682391700083766,0.436432524078764,0.204979424350522,0,0,0,0,0
"49",0.886434940619828,0.820468533615523,0.681755882034806,0.435868705029411,0.204661369599878,0,0,0,0,0
"50",0.886004180878214,0.819931136363624,0.681121124947397,0.435306388337354,0.204344352249721,0,0,0,0,0
"51",0.885573369701651,0.819394102363004,0.680487427425144,0.434745568283754,0.204028367257824,0,0,0,0,0
"52",0.885142510146366,0.81885743362432,0.679854788062958,0.434186239176669,0.203713409614405,0,0,0,0,0
"53",0.88471160524764,0.818321132134956,0.679223205447225,0.433628395350919,0.203399474341859,0,0,0,0,0
