"","Time","SC","IC","SN","IN"
"46",1350,173.317041536227,187.06219848188,83.1644897706103,306.456270211282
"47",1380,171.044414874966,191.01796946716,81.5342638687643,306.40335178911
"48",1410,168.797035564518,194.473857687843,80.1752586335335,306.553848114105
"49",1440,166.607269913573,197.46626937482,79.0365276891346,306.889933022472
"50",1470,164.500305527558,200.033185600738,78.0760820059586,307.390426865744
"51",1500,162.495019615652,202.213102301993,77.2595944190816,308.032283663273
"52",1530,160.604824704169,204.044164531845,76.5592219317063,308.791788832279
"53",1560,158.838472092767,205.563477657117,75.9525535230203,309.645496727095
"54",1590,157.200799468113,206.806577172961,75.4216844690717,310.570938889854
"55",1620,155.693414692559,207.807037366261,74.9524123639866,311.547135577194
"56",1650,154.315311748487,208.596199763692,74.5335469997306,312.554941488089
"57",1680,153.063413138475,209.203010225197,74.1563315842676,313.57724505206
"58",1710,151.93304913356,209.653930983804,73.8139487448632,314.599071137772
"59",1740,150.918370171424,209.972925373809,73.501112841252,315.607591613515
"60",1770,150.012697361071,210.181502101767,73.2137384256029,316.592062111558
"61",1800,149.208816100798,210.298799436287,72.9486690124213,317.543715450493
"62",1830,148.499219918219,210.341700998334,72.7034583724998,318.455620710946
"63",1860,147.876308794763,210.32497444387,72.4761967241706,319.322520037196
"64",1890,147.332547446392,210.261424798245,72.2653738567008,320.140653898661
"65",1920,146.860589032089,210.162055874917,72.0697726830993,320.907582409894
"66",1950,146.453369007158,210.036234571013,71.8883875567126,321.622008865116
"67",1980,146.104173677201,209.891853745041,71.7203624943394,322.283610083418
"68",2010,145.806687537295,209.735490469836,71.564945284075,322.892876708793
"69",2040,145.555022965284,209.57255720836,71.4214541478514,323.450965678504
"70",2070,145.3437357289,209.407444246233,71.2892540139267,323.95956601094
"71",2100,145.167828508292,209.243652157713,71.1677405953616,324.420778738633
"72",2130,145.02274610582,209.083913884651,71.0563295195501,324.837010489979
"73",2160,144.904362785855,208.930305740112,70.9544502802892,325.210881193743
"74",2190,144.808964527677,208.784348029959,70.8615430145649,325.545144427799
"75",2220,144.733228227809,208.64709289902,70.7770572667306,325.84262160644
"76",2250,144.674196534165,208.519208067492,70.700452346918,326.106143051425
"77",2280,144.629253535273,208.401043164074,70.631198520862,326.338504779791
"78",2310,144.596098545465,208.292690404443,70.5687787743339,326.542432275758
"79",2340,144.572719080711,208.19404066895,70.512690693268,326.720549557071
"80",2370,144.557365076256,208.104827756561,70.4624485044409,326.875358662741
"81",2400,144.548523757893,208.024666994665,70.4175849324981,327.009224314943
"82",2430,144.544895686125,207.95308795618,70.3776527494339,327.124363608261
"83",2460,144.545372014363,207.889561740231,70.342226105479,327.222840139926
"84",2490,144.549013204437,207.833523498897,70.3109015397747,327.306561756891
"85",2520,144.555029261196,207.784390788146,70.283298674682,327.377281275975
"86",2550,144.562761518678,207.741578297198,70.2590606085852,327.436599575539
"87",2580,144.571665978024,207.704509452268,70.237854023279,327.485970546428
"88",2610,144.581298166302,207.672625348486,70.2193690331609,327.526707452051
"89",2640,144.591299464641,207.645391416897,70.2033188064139,327.559990312048
"90",2670,144.601384838075,207.622302189243,70.189438990001,327.586873982681
"91",2700,144.611331888366,207.602884481501,70.1774869705611,327.608296659571
"92",2730,144.620971143794,207.586699278122,70.1672410023046,327.625088575779
"93",2760,144.630177495799,207.573342562719,70.158499231265,327.637980710217
"94",2790,144.638862690804,207.56244530791,70.1510786430026,327.647613358283
"95",2820,144.646968785973,207.553672806951,70.1448139582815,327.654544448794
"96",2850,144.654462479752,207.546723502713,70.1395564985174,327.659257519018
"97",2880,144.661330231216,207.541327445417,70.1351730400301,327.662169283337
"98",2910,144.667574086409,207.537244489016,70.131544673431,327.663636751144
"99",2940,144.673207936498,207.534261702453,70.1285653938627,327.663964967186
"100",2970,144.67825552439,207.532194387773,70.1261424560801,327.663407631757
"101",3000,144.68274605679,207.530878356294,70.1241926878816,327.662182899034
