"","PC","PN","0.25","0.5","0.75"
"1",0.875,1,0.96875,0.9375,0.90625
"2",0.873796419197413,0.998317382062055,0.967187141345895,0.936056900629734,0.904926659913574
"3",0.872597657417183,0.996641501165315,0.965630540228282,0.934619579291249,0.903608618354216
"4",0.871403685774778,0.994972316928919,0.964080159140384,0.933188001351848,0.902295843563313
"5",0.870214475616047,0.993309789294076,0.962535960874568,0.931762132455061,0.900988304035554
"6",0.869029998514925,0.991653878520865,0.96099790851938,0.930341938517895,0.89968596851641
"7",0.86785022627117,0.990004545185068,0.959465965456593,0.928927385728119,0.898388805999644
"8",0.866675130908123,0.988361750175037,0.957940095358309,0.92751844054158,0.897096785724851
"9",0.865504684670498,0.986725454688607,0.95642026218408,0.926115069679553,0.895809877175025
"10",0.864338860022198,0.985095620230039,0.954906430178079,0.924717240126119,0.894528050074158
"11",0.863177629644153,0.983472208606999,0.953398563866288,0.923324919125576,0.893251274384864
"12",0.862020966432184,0.981855181927581,0.951896628053732,0.921938074179883,0.891979520306034
"13",0.860868843494903,0.980244502597352,0.95040058782174,0.920556673046127,0.890712758270515
"14",0.859721234151618,0.978640133316441,0.948910408525236,0.91918068373403,0.889450958942824
"15",0.858578111930282,0.977042037076663,0.947426055790068,0.917810074503472,0.888194093216877
"16",0.857439450565452,0.975450177158666,0.945947495510363,0.916444813862059,0.886942132213755
"17",0.85630522399628,0.973864517129127,0.944474693845915,0.915084870562703,0.885695047279492
"18",0.855175406364524,0.972285020837967,0.943007617219606,0.913730213601245,0.884452809982885
"19",0.854049972012585,0.970711652415603,0.941546232314849,0.912380812214094,0.883215392113339
"20",0.852928895481559,0.96914437627024,0.94009050607307,0.911036635875899,0.881982765678729
"21",0.851812151509325,0.967583157085176,0.938640405691213,0.909697654297251,0.880754902903288
"22",0.850699715028641,0.96602795981616,0.93719589861928,0.9083638374224,0.879531776225521
"23",0.849591561165272,0.964478749688763,0.93575695255789,0.907035155427017,0.878313358296144
"24",0.848487665236134,0.962935492195789,0.934323535455875,0.905711578715961,0.877099621976047
"25",0.847388002747462,0.961398153094711,0.932895615507899,0.904393077921087,0.875890540334275
"26",0.846292549393002,0.959866698405142,0.931473161152107,0.903079623899072,0.874686086646037
"27",0.845201281052211,0.958341094406325,0.930056141067797,0.901771187729268,0.87348623439074
"28",0.844114173788498,0.956821307634667,0.928644524173124,0.900467740711582,0.87229095725004
"29",0.843031203847465,0.955307304881281,0.927238279622827,0.899169254364373,0.871100229105919
"30",0.84195234765518,0.953799053189579,0.92583737680598,0.89787570042238,0.86991402403878
"31",0.840877581816467,0.952296519852872,0.924441785343771,0.896587050834669,0.868732316325568
"32",0.839806883113215,0.950799672412008,0.92305147508731,0.895303277762612,0.867555080437914
"33",0.838740228502706,0.949308478653037,0.921666416115454,0.894024353577871,0.866382291040289
"34",0.837677595115959,0.947822906604897,0.920286578732663,0.892750250860428,0.865213922988193
"35",0.836618960256098,0.946342924537132,0.918911933466874,0.891480942396615,0.864049951326357
"36",0.835564301396739,0.944868500957631,0.917542451067408,0.890216401177185,0.862890351286962
"37",0.834513596180387,0.943399604610392,0.916178102502891,0.88895660039539,0.861735098287888
"38",0.833466822416858,0.941936204473319,0.914818858959204,0.887701513445089,0.860584167930973
"39",0.832423958081718,0.940478269756034,0.913464691837455,0.886451113918876,0.859437536000297
"40",0.831384981314738,0.939025769897718,0.912115572751973,0.885205375606228,0.858295178460483
"41",0.830349870418364,0.937578674564976,0.910771473528323,0.88396427249167,0.857157071455017
"42",0.82931860385621,0.936136953649726,0.909432366201347,0.882727778752968,0.856023191304589
"43",0.828291160251563,0.934700577267111,0.908098223013224,0.881495868759337,0.85489351450545
"44",0.827267518385906,0.933269515753431,0.90676901641155,0.880268517069669,0.853768017727787
"45",0.826247657197457,0.931843739664106,0.905444719047444,0.879045698430782,0.852646677814119
"46",0.825231555779724,0.930423219771654,0.904125303773671,0.877827387775689,0.851529471777706
"47",0.824219193380078,0.929007927063691,0.902810743642788,0.876613560221885,0.850416376800981
"48",0.823210549398339,0.927597832740961,0.901501011905306,0.87540419106965,0.849307370233995
"49",0.822205603385379,0.92619290821538,0.90019608200788,0.874199255800379,0.848202429592879
"50",0.821204335041739,0.924793125108103,0.898895927591512,0.872998730074921,0.84710153255833
"51",0.820206724216265,0.923398455247615,0.897600522489777,0.87180258973194,0.846004656974103
"52",0.819212750904754,0.92200887066784,0.896309840727068,0.870610810786297,0.844911780845525
"53",0.818222395248615,0.920624343606272,0.895023856516858,0.869423369427444,0.843822882338029
"54",0.817235637533551,0.919244846502128,0.893742544259984,0.86824024201784,0.842737939775695
"55",0.816252458188248,0.917870351994515,0.892465878542948,0.867061405091381,0.841656931639815
"56",0.81527283778308,0.916500832920625,0.891193834136239,0.865886835351853,0.840579836567467
"57",0.814296757028834,0.915136262313943,0.889926385992666,0.864716509671388,0.839506633350111
"58",0.813324196775438,0.913776613402478,0.888663509245718,0.863550405088958,0.838437300932198
"59",0.812355138010711,0.912421859607014,0.887405179207938,0.862388498808863,0.837371818409787
"60",0.811389561859126,0.911071974539375,0.886151371369313,0.861230768199251,0.836310165029189
"61",0.810427449580582,0.909726932000714,0.884902061395681,0.860077190790648,0.835252320185615
"62",0.809468782569191,0.908386705979815,0.883657225127159,0.858927744274503,0.834198263421847
"63",0.808513542352083,0.90705127065142,0.882416838576586,0.857782406501752,0.833147974426918
"64",0.807561710588214,0.905720600374568,0.88118087792798,0.856641155481391,0.832101433034803
"65",0.806613269067196,0.904394669690955,0.879949319535016,0.855503969379076,0.831058619223136
