"","z_sc","z_ic","z_in"
"1",0.907581021361155,0.999770916255534,0.967575914571875
"2",0.907528207708261,0.999770785343577,0.967564798421793
"3",0.907475115885555,0.999770653742105,0.967553626282207
"4",0.907421744365765,0.999770521447335,0.967542397870098
"5",0.907368091760279,0.999770388455822,0.967531112932058
"6",0.907314156329121,0.999770254763255,0.967519771141222
"7",0.907259936566954,0.999770120365901,0.967508372220541
"8",0.907205430910711,0.999769985259887,0.967496915881286
"9",0.907150637788141,0.999769849441315,0.967485401833261
"10",0.907095555617769,0.999769712906266,0.967473829784802
"11",0.907040182808844,0.999769575650795,0.967462199442768
"12",0.906984517761272,0.999769437670937,0.967450510512538
"13",0.906928558865874,0.999769298962703,0.967438762698064
"14",0.90687230450332,0.99976915952208,0.967426955701653
"15",0.906815753045173,0.99976901934503,0.967415089224196
"16",0.906758902853417,0.999768878427493,0.96740316296507
"17",0.906701752280359,0.999768736765386,0.967391176622125
"18",0.906644299668603,0.999768594354599,0.967379129891682
"19",0.90658654335099,0.999768451191001,0.967367022468526
"20",0.906528481650528,0.999768307270435,0.967354854045899
"21",0.906470112880338,0.999768162588719,0.967342624315493
"22",0.906411435343585,0.999768017141647,0.967330332967438
"23",0.906352447333416,0.999767870924988,0.967317979690301
"24",0.906293147132897,0.999767723934487,0.967305564171071
"25",0.906233533014945,0.999767576165862,0.967293086095158
"26",0.906173603242264,0.999767427614808,0.967280545146379
"27",0.906113356067282,0.999767278276992,0.967267941006955
"28",0.90605278973208,0.999767128148057,0.9672552733575
"29",0.905991902468332,0.999766977223619,0.967242541877014
"30",0.905930692497231,0.99976682549927,0.967229746242875
"31",0.905869158029425,0.999766672970574,0.96721688613083
"32",0.90580729726495,0.999766519633069,0.96720396121499
"33",0.90574510839316,0.999766365482268,0.967190971167816
"34",0.905682589592659,0.999766210513655,0.967177915660119
"35",0.905619739031227,0.999766054722689,0.967164794361044
"36",0.905556554865761,0.999765898104802,0.967151606938066
"37",0.905493035242191,0.999765740655396,0.967138353056979
"38",0.90542917829542,0.999765582369851,0.967125032381893
"39",0.905364982149247,0.999765423243514,0.96711164457522
"40",0.905300444916298,0.999765263271707,0.967098189297665
"41",0.905235564697951,0.999765102449724,0.967084666208226
"42",0.905170339584264,0.999764940772832,0.967071074964174
"43",0.905104767653904,0.999764778236267,0.967057415221054
"44",0.90503884697407,0.999764614835238,0.967043686632671
"45",0.90497257560042,0.999764450564927,0.967029888851083
"46",0.904905951576997,0.999764285420483,0.967016021526593
"47",0.904838972936151,0.999764119397032,0.967002084307739
"48",0.904771637698467,0.999763952489665,0.966988076841287
"49",0.904703943872682,0.999763784693447,0.966973998772221
"50",0.904635889455617,0.999763616003412,0.966959849743735
"51",0.904567472432091,0.999763446414566,0.966945629397221
"52",0.904498690774849,0.999763275921884,0.966931337372267
"53",0.904429542444478,0.999763104520309,0.966916973306641
"54",0.904360025389333,0.999762932204758,0.966902536836286
"55",0.904290137545454,0.999762758970112,0.966888027595309
"56",0.904219876836486,0.999762584811227,0.966873445215975
"57",0.9041492411736,0.999762409722924,0.966858789328694
"58",0.904078228455411,0.999762233699994,0.966844059562016
"59",0.904006836567892,0.999762056737198,0.966829255542616
"60",0.903935063384298,0.999761878829262,0.966814376895293
"61",0.903862906765078,0.999761699970886,0.966799423242954
"62",0.903790364557793,0.999761520156731,0.966784394206606
"63",0.903717434597033,0.999761339381432,0.96676928940535
"64",0.903644114704328,0.999761157639589,0.966754108456367
"65",0.903570402688067,0.999760974925768,0.966738850974915
"66",0.903496296343411,0.999760791234505,0.966723516574311
"67",0.903421793452204,0.999760606560301,0.966708104865929
"68",0.903346891782886,0.999760420897625,0.966692615459186
"69",0.903271589090408,0.999760234240912,0.966677047961537
"70",0.903195883116141,0.999760046584564,0.966661401978459
"71",0.903119771587787,0.999759857922947,0.966645677113446
"72",0.903043252219292,0.999759668250396,0.966629872968001
"73",0.902966322710751,0.999759477561209,0.96661398914162
"74",0.90288898074832,0.999759285849652,0.966598025231788
"75",0.902811224004123,0.999759093109953,0.966581980833965
"76",0.902733050136162,0.999758899336307,0.96656585554158
"77",0.902654456788221,0.999758704522875,0.966549648946019
"78",0.902575441589774,0.99975850866378,0.966533360636616
"79",0.902496002155892,0.99975831175311,0.966516990200641
"80",0.902416136087145,0.999758113784919,0.966500537223292
"81",0.902335840969508,0.999757914753221,0.966484001287685
"82",0.902255114374266,0.999757714651997,0.966467381974844
"83",0.902173953857916,0.999757513475191,0.966450678863688
"84",0.902092356962068,0.999757311216707,0.966433891531026
"85",0.902010321213349,0.999757107870417,0.966417019551543
"86",0.901927844123303,0.99975690343015,0.966400062497789
"87",0.901844923188292,0.999756697889702,0.966383019940172
"88",0.901761555889393,0.999756491242829,0.966365891446946
"89",0.901677739692302,0.999756283483248,0.966348676584201
"90",0.901593472047228,0.999756074604639,0.966331374915852
"91",0.901508750388791,0.999755864600644,0.966313986003629
"92",0.901423572135921,0.999755653464864,0.966296509407065
"93",0.901337934691752,0.999755441190863,0.966278944683491
"94",0.901251835443518,0.999755227772164,0.966261291388016
"95",0.90116527176245,0.999755013202251,0.966243549073525
"96",0.901078241003664,0.999754797474568,0.966225717290665
"97",0.900990740506061,0.999754580582519,0.966207795587833
"98",0.900902767592215,0.999754362519468,0.966189783511168
"99",0.900814319568266,0.999754143278736,0.966171680604539
"100",0.900725393723812,0.999753922853605,0.966153486409531
"101",0.900635987331797,0.999753701237316,0.966135200465442
"102",0.900546097648402,0.999753478423068,0.966116822309263
"103",0.900455721912933,0.999753254404017,0.966098351475674
"104",0.900364857347708,0.999753029173278,0.966079787497028
"105",0.900273501157948,0.999752802723924,0.966061129903346
"106",0.900181650531657,0.999752575048984,0.966042378222299
"107",0.900089302639512,0.999752346141445,0.966023531979201
"108",0.899996454634749,0.999752115994252,0.966004590696998
"109",0.89990310365304,0.999751884600302,0.965985553896254
"110",0.899809246812385,0.999751651952454,0.965966421095142
"111",0.899714881212987,0.999751418043519,0.965947191809435
"112",0.899620003937137,0.999751182866265,0.965927865552488
"113",0.899524612049095,0.999750946413415,0.965908441835232
"114",0.899428702594967,0.999750708677647,0.965888920166164
"115",0.899332272602587,0.999750469651594,0.965869300051328
"116",0.899235319081394,0.999750229327842,0.965849580994312
"117",0.899137839022309,0.999749987698933,0.965829762496231
"118",0.899039829397612,0.999749744757363,0.965809844055717
"119",0.898941287160815,0.999749500495579,0.96578982516891
"120",0.898842209246543,0.999749254905983,0.96576970532944
"121",0.8987425925704,0.99974900798093,0.965749484028423
"122",0.898642434028849,0.999748759712727,0.965729160754443
"123",0.898541730499078,0.999748510093634,0.965708734993544
"124",0.898440478838878,0.999748259115861,0.965688206229217
"125",0.898338675886506,0.999748006771571,0.965667573942386
"126",0.898236318460559,0.999747753052879,0.965646837611403
"127",0.898133403359843,0.999747497951849,0.965625996712025
"128",0.898029927363238,0.999747241460497,0.965605050717413
"129",0.897925887229566,0.999746983570789,0.965583999098114
"130",0.897821279697457,0.999746724274641,0.965562841322049
"131",0.897716101485213,0.999746463563918,0.965541576854504
"132",0.897610349290674,0.999746201430436,0.965520205158114
"133",0.897504019791079,0.999745937865958,0.965498725692855
"134",0.897397109642928,0.999745672862195,0.965477137916029
"135",0.897289615481844,0.999745406410809,0.96545544128225
"136",0.897181533922435,0.999745138503409,0.965433635243438
"137",0.89707286155815,0.999744869131549,0.965411719248799
