"","SC","IC","SN","IN"
"1",78.3333333333333,0,665.656565656566,6.01010101010101
"2",76.5757575757576,0.0404040404040404,667.131313131313,6.25252525252525
"3",74.7777777777778,0.0808080808080808,668.616161616162,6.52525252525253
"4",73.4242424242424,0.121212121212121,669.737373737374,6.71717171717172
"5",72.1212121212121,0.151515151515152,670.69696969697,7.03030303030303
"6",70.8181818181818,0.171717171717172,671.626262626263,7.38383838383838
"7",69.6161616161616,0.212121212121212,672.606060606061,7.56565656565657
"8",68.3434343434343,0.262626262626263,673.474747474747,7.91919191919192
"9",67.0909090909091,0.282828282828283,674.353535353535,8.27272727272727
"10",65.9191919191919,0.353535353535354,675.010101010101,8.71717171717172
"11",64.5050505050505,0.434343434343434,675.848484848485,9.21212121212121
"12",63.6565656565657,0.464646464646465,676.151515151515,9.72727272727273
"13",62.7171717171717,0.616161616161616,676.50505050505,10.1616161616162
"14",61.4949494949495,0.636363636363636,677.171717171717,10.6969696969697
"15",60.4343434343434,0.717171717171717,677.565656565657,11.2828282828283
"16",59.6969696969697,0.757575757575758,677.79797979798,11.7474747474747
"17",58.6060606060606,0.838383838383838,677.979797979798,12.5757575757576
"18",57.6363636363636,0.95959595959596,678.050505050505,13.3535353535354
"19",56.7171717171717,1,678.323232323232,13.959595959596
"20",56.0909090909091,1.08080808080808,678.10101010101,14.7272727272727
"21",55.2626262626263,1.14141414141414,677.909090909091,15.6868686868687
"22",54.4545454545455,1.23232323232323,677.606060606061,16.7070707070707
"23",53.8686868686869,1.31313131313131,677.353535353535,17.4646464646465
"24",53.2121212121212,1.44444444444444,676.808080808081,18.5353535353535
"25",52.7373737373737,1.56565656565657,676.090909090909,19.6060606060606
"26",52.3232323232323,1.70707070707071,675.363636363636,20.6060606060606
"27",51.9494949494949,1.78787878787879,674.555555555556,21.7070707070707
"28",51.7575757575758,1.90909090909091,673.111111111111,23.2222222222222
"29",51.4545454545455,1.97979797979798,672,24.5656565656566
"30",51.4646464646465,2.02020202020202,670.555555555556,25.959595959596
"31",51.4848484848485,2.12121212121212,669.343434343434,27.0505050505051
"32",51.5454545454545,2.24242424242424,667.545454545455,28.6666666666667
"33",51.4040404040404,2.43434343434343,665.89898989899,30.2626262626263
"34",51.5959595959596,2.54545454545455,663.767676767677,32.0909090909091
"35",51.9393939393939,2.73737373737374,661.414141414141,33.9090909090909
"36",52.4949494949495,2.84848484848485,658.989898989899,35.6666666666667
"37",52.7676767676768,3.15151515151515,656.707070707071,37.3737373737374
"38",53.1616161616162,3.38383838383838,654.212121212121,39.2424242424242
"39",53.6363636363636,3.77777777777778,651.525252525253,41.0606060606061
"40",54.2525252525253,3.98989898989899,648.868686868687,42.8888888888889
"41",54.989898989899,4.28282828282828,645.393939393939,45.3333333333333
"42",55.7373737373737,4.71717171717172,641.69696969697,47.8484848484849
"43",56.7171717171717,4.95959595959596,637.858585858586,50.4646464646465
"44",57.4343434343434,5.32323232323232,634.363636363636,52.8787878787879
"45",58.2525252525253,5.65656565656566,630.454545454545,55.6363636363636
"46",59.2424242424242,5.84848484848485,626.616161616162,58.2929292929293
"47",60.2929292929293,6.19191919191919,622.646464646465,60.8686868686869
"48",61.3232323232323,6.71717171717172,617.878787878788,64.0808080808081
"49",62.5353535353535,7.02020202020202,613.10101010101,67.3434343434343
"50",63.6161616161616,7.55555555555556,608.070707070707,70.7575757575758
"51",65.1111111111111,8.08080808080808,603.262626262626,73.5454545454545
"52",66.3838383838384,8.64646464646465,597.787878787879,77.1818181818182
"53",67.7171717171717,9.19191919191919,591.979797979798,81.1111111111111
"54",68.8080808080808,9.90909090909091,585.69696969697,85.5858585858586
"55",70.5858585858586,10.3131313131313,580.10101010101,89
"56",72.0808080808081,10.959595959596,573.737373737374,93.2222222222222
"57",74.030303030303,11.5454545454545,567.090909090909,97.3333333333333
"58",75.5353535353535,12.3030303030303,560.474747474747,101.686868686869
"59",77.5151515151515,12.959595959596,553.868686868687,105.656565656566
"60",79.5353535353535,13.8181818181818,547.323232323232,109.323232323232
"61",81.5050505050505,14.6565656565657,540.333333333333,113.505050505051
"62",83.6161616161616,15.6161616161616,532.888888888889,117.878787878788
"63",85.9494949494949,16.4040404040404,526.050505050505,121.59595959596
"64",88.6262626262626,17.2222222222222,518.141414141414,126.010101010101
"65",91.1111111111111,18.4646464646465,510.282828282828,130.141414141414
"66",93.5151515151515,19.7070707070707,502.373737373737,134.40404040404
"67",95.7575757575758,21.0606060606061,494.767676767677,138.414141414141
"68",97.8282828282828,22.4242424242424,486.686868686869,143.060606060606
"69",100.121212121212,23.4444444444444,478.808080808081,147.626262626263
"70",102.282828282828,24.7474747474747,470.070707070707,152.89898989899
"71",104.59595959596,25.9393939393939,461.252525252525,158.212121212121
"72",106.606060606061,27.5050505050505,452.989898989899,162.89898989899
"73",109.282828282828,29.2929292929293,444.323232323232,167.10101010101
"74",111.939393939394,30.7373737373737,435.707070707071,171.616161616162
"75",114.787878787879,32.2424242424242,426.969696969697,176
"76",117.525252525253,33.8585858585859,419.383838383838,179.232323232323
"77",119.949494949495,35.6464646464646,410.808080808081,183.59595959596
"78",121.868686868687,37.6565656565657,402.272727272727,188.20202020202
"79",124,39.5252525252525,393.232323232323,193.242424242424
"80",126.050505050505,41.6767676767677,384.808080808081,197.464646464646
"81",129.020202020202,43.7272727272727,376.232323232323,201.020202020202
"82",130.656565656566,45.8888888888889,367.909090909091,205.545454545455
"83",133.111111111111,48.030303030303,359.171717171717,209.686868686869
"84",135.585858585859,49.8787878787879,350.555555555556,213.979797979798
