"","x"
"1",518.26
"2",515.65
"3",530.66
"4",541.67
"5",558.3
"6",586.99
"7",673.79
"8",678.18
"9",679.96
"10",677.98
"11",678.54
"12",679.04
"13",679.79
"14",677.89
"15",679.74
"16",678.58
"17",678.12
"18",679.49
"19",680.29
"20",678.31
"21",678.22
