,time,S_C,I_C,S_N,I_N
97,144,68.5931639,0.416984029,669.7343778,11.2554743
98,145.5,68.53299508,0.421305443,669.7407522,11.30494725
99,147,68.47296582,0.425629166,669.7467426,11.35466246
100,148.5,68.41307626,0.429955283,669.7523476,11.40462089
101,150,68.35332656,0.434283878,669.757566,11.45482354
102,151.5,68.29371686,0.438615033,669.7623967,11.50527138
103,153,68.23424733,0.442948834,669.7668384,11.5559654
104,154.5,68.17491812,0.447285363,669.7708899,11.6069066
105,156,68.11572938,0.451624705,669.7745499,11.65809597
106,157.5,68.05668127,0.455966943,669.7778173,11.70953452
107,159,67.99777395,0.460312162,669.7806906,11.76122325
108,160.5,67.93900757,0.464660445,669.7831688,11.81316318
109,162,67.8803823,0.469011876,669.7852505,11.86535531
110,163.5,67.8218983,0.473366539,669.7869345,11.91780067
111,165,67.76355572,0.477724518,669.7882195,11.97050027
112,166.5,67.70535474,0.482085897,669.7891042,12.02345515
113,168,67.64729552,0.486450761,669.7895874,12.07666633
114,169.5,67.58937821,0.490819192,669.7896677,12.13013485
115,171,67.53160299,0.495191276,669.789344,12.18386174
116,172.5,67.47397003,0.499567096,669.7886148,12.23784806
117,174,67.41647949,0.503946736,669.7874789,12.29209485
118,175.5,67.35913154,0.508330282,669.785935,12.34660315
119,177,67.30192635,0.512717816,669.7839818,12.40137403
120,178.5,67.24486409,0.517109424,669.7816179,12.45640855
121,180,67.18794495,0.521505189,669.7788421,12.51170776
122,181.5,67.13116908,0.525905197,669.775653,12.56727274
123,183,67.07453666,0.530309531,669.7720492,12.62310457
124,184.5,67.01804787,0.534718276,669.7680295,12.67920431
125,186,66.96170289,0.539131517,669.7635925,12.73557304
126,187.5,66.9055019,0.543549338,669.7587369,12.79221186
127,189,66.84944506,0.547971825,669.7534613,12.84912185
128,190.5,66.79353257,0.552399061,669.7477643,12.90630411
129,192,66.73776461,0.556831132,669.7416445,12.96375973
130,193.5,66.68214134,0.561268122,669.7351007,13.02148982
131,195,66.62666297,0.565710117,669.7281314,13.07949549
132,196.5,66.57132967,0.570157201,669.7207353,13.13777783
133,198,66.51614163,0.574609461,669.7129109,13.19633798
134,199.5,66.46109903,0.57906698,669.7046569,13.25517704
135,201,66.40620206,0.583529844,669.6959719,13.31429615
136,202.5,66.35145091,0.587998139,669.6868545,13.37369643
137,204,66.29684577,0.59247195,669.6773033,13.43337901
138,205.5,66.24238684,0.596951363,669.6673168,13.49334503
139,207,66.18807429,0.601436463,669.6568936,13.55359564
140,208.5,66.13390833,0.605927336,669.6460324,13.61413197
141,210,66.07988915,0.610424068,669.6347316,13.67495517
142,211.5,66.02601694,0.614926745,669.6229899,13.73606641
