"","x"
"1",514.19
"2",515.55
"3",513.9
"4",514.19
"5",516.31
"6",513.48
"7",514.08
"8",514.51
"9",516.56
"10",515.44
"11",520.25
"12",518.6
"13",521.24
"14",524.65
"15",527.09
"16",532.84
"17",535.75
"18",532.49
"19",540.71
"20",544.53
