"","x"
"1",505.35
"2",471.89
"3",452.51
"4",443.1292
"5",442.8806
"6",440.42
"7",437.99
"8",430.09
"9",404.71
"10",393.63
"11",362.77
"12",374.87
"13",368.59
"14",340.5283
"15",330.87751
"16",324.726
"17",250.37
"18",229.937
"19",76.31
"20",34.1
"21",25.23
"22",22.01
"23",0
"24",0
"25",0
"26",0
