"","Control","Infection","IC","IN"
"1",0.453465784095602,0.720013618270406,0.26816801031705,0.451845607953356
"2",0.453496232367782,0.720001499555112,0.268184172128476,0.451817327426636
"3",0.453527140510635,0.719989197806722,0.268200577746386,0.451788620060336
"4",0.45355851259912,0.719976711403327,0.268217229320561,0.451759482082767
"5",0.45359035272729,0.719964038715525,0.268234129010573,0.451729909704952
"6",0.453622665008227,0.719951178106173,0.268251278985711,0.451699899120462
"7",0.453655453574254,0.719938127930647,0.268268681425131,0.451669446505516
"8",0.453688722576863,0.719924886536572,0.268286338517773,0.451638548018798
"9",0.453722476186851,0.719911452263932,0.268304252462446,0.451607199801486
"10",0.453756718594375,0.719897823445032,0.268322425467848,0.451575397977184
"11",0.453791454008972,0.719883998404387,0.268340859752555,0.451543138651832
"12",0.453826686659691,0.719869975458819,0.268359557545107,0.451510417913711
"13",0.453862420795127,0.71985575291737,0.268378521084005,0.451477231833365
"14",0.453898660683445,0.7198413290812,0.268397752617704,0.451443576463497
"15",0.453935410612572,0.719826702243777,0.268417254404745,0.451409447839031
"16",0.453972674890092,0.719811870690525,0.268437028713638,0.451374841976887
"17",0.454010457843489,0.719796832699119,0.268457077823033,0.451339754876086
"18",0.454048763820113,0.719781586539254,0.268477404021666,0.451304182517588
"19",0.454087597187306,0.719766130472709,0.268498009608427,0.451268120864282
"20",0.454126962332443,0.719750462753258,0.268518896892371,0.451231565860887
"21",0.454166863663018,0.719734581626647,0.268540068192747,0.4511945134339
"22",0.454207305606755,0.719718485330639,0.268561525839071,0.451156959491568
"23",0.45424829261164,0.719702172094878,0.26858327217111,0.451118899923768
"24",0.454289829146017,0.719685640140898,0.268605309538934,0.451080330601964
"25",0.454331919698686,0.719668887682109,0.268627640302962,0.451041247379147
"26",0.454374568778996,0.719651912923793,0.268650266834007,0.451001646089786
"27",0.45441778091687,0.719634714062946,0.268673191513258,0.450961522549688
"28",0.454461560662955,0.719617289288375,0.268696416732375,0.450920872556001
"29",0.454505912588688,0.719599636780613,0.268719944893503,0.45087969188711
"30",0.45455084128638,0.719581754711883,0.268743778409313,0.45083797630257
"31",0.454596351369304,0.71956364124605,0.268767919703027,0.450795721543023
"32",0.454642447471789,0.719545294538594,0.26879237120847,0.450752923330124
"33",0.454689134249322,0.719526712736587,0.26881713537011,0.450709577366477
"34",0.454736416378641,0.719507893978653,0.2688422146431,0.450665679335553
"35",0.454784298557812,0.719488836394899,0.268867611493302,0.450621224901597
