"","x"
"1",422.84
"2",405.75
"3",391.35
"4",362.73
"5",319.99
"6",240.91
"7",19.6
"8",0.81
"9",0.53
"10",0.34
"11",0.26
"12",0.3
"13",0.29
"14",0.28
"15",0.16
"16",0.11
"17",0.2
"18",0.14
"19",0.16
"20",0.16
"21",0.11
