"","SC","IC","SN","IN"
"1",0.851083682338837,0,0.848290020922068,0.222701503353614
"2",1.85711843695788,0,1.96597316997219,0.753175097353018
"3",2.29119967693694,0.196946385566932,2.52684576002365,1.28958532212115
"4",2.56178205020007,0.307482445914323,2.92388284804486,1.50993343889689
"5",3.21415744493142,0.34509550720186,3.75410886008029,1.88293774338254
"6",3.3474851105952,0.337997668989631,3.75097293775868,1.96010719146178
"7",3.68485845293707,0.386122919665369,4.10562560594139,2.10396451174127
"8",3.92324077540726,0.409360180740333,4.36404038533656,2.38352934137848
"9",4.13991411612474,0.468287229478799,4.7736228116049,2.83527562659927
"10",4.04674704128657,0.529531906880067,5.15618683003852,3.3031359449328
"11",4.27200187265877,0.594928057784632,5.60090180329034,3.5608845796935
"12",4.40306367169153,0.641573192719398,5.78413015207659,3.86122919665369
"13",4.24739967985167,0.689019212175883,5.84666010158229,4.11054323132182
"14",4.40764945717939,0.755518418576331,6.19986151686332,4.57188377062685
"15",4.11177171869581,0.775639195513069,6.46104097688991,5.09362842235773
"16",4.38726347602703,0.817176711475418,7.26532514722841,5.51779490431283
"17",4.59661711358352,0.87755399269846,8.00154025576617,6.13843661207021
"18",4.73862273815351,0.995139703912486,8.89719056781408,6.91241015431044
"19",4.90314267391926,1.10846148723664,9.55707998176105,7.31902184776632
"20",4.89716471258853,1.08171207356718,10.0810653597662,7.7953366012811
"21",4.91473768014596,1.11423298798553,10.8084516126329,8.35089059546188
"22",4.92852960226517,1.2608719125264,11.4863951145376,9.16887025855322
"23",5.08015548954752,1.23566528108088,12.5311087645382,10.1013600444433
"24",5.28748283661278,1.30654915983698,13.5974559414917,10.847426730182
"25",5.40669244846822,1.33166562369588,14.8053873623588,11.8236665594515
"26",5.69614436316888,1.35721044868517,15.4896381135548,12.5668957458423
"27",5.84903514446717,1.3651876697866,16.6421971888548,13.1909480747637
"28",5.73498038357587,1.40313501801782,17.5403114354485,13.9400556496433
"29",5.86283449219132,1.40115392560287,19.1854822006831,15.4092324417683
"30",6.05379086510129,1.46694212289347,20.223845811169,16.0959998795108
"31",6.46584655843082,1.43983725230712,21.571237396781,17.2752640348779
"32",6.62315344954061,1.5,22.5736862991252,17.9374220865517
"33",6.81617209437981,1.60164057305393,23.9644749703819,19.0615669170542
"34",7.10253902531064,1.65559961977832,25.5495142178413,20.2098360890799
"35",7.46507017564287,1.81252655849577,26.9509468359376,21.1180520221947
"36",7.7895293616988,1.85676486329739,28.5662158303946,22.3807705159784
"37",8.17655554656486,1.99747315123358,30.1749293890866,23.3530998526378
"38",8.23027179000631,2.18837608719112,31.6751121114469,24.5740994471082
"39",8.62771549991507,2.27580599553058,33.4094207363641,25.6162255240894
"40",8.95115251311982,2.33541033099998,35.3260870213844,26.869674243269
"41",9.53280354535556,2.59873706700665,37.3685913055552,28.1316242479577
"42",10.1502400827455,2.75973941091575,39.5167066063216,29.6529743683309
"43",10.5445471570606,2.96961038834825,41.5337954154946,30.9673989540581
"44",11.1867706861202,3.17469476779845,43.6243097829685,32.2124811120463
"45",11.5303026321029,3.46367878231667,46.050761408066,33.9373992920358
"46",11.8595271338441,3.76709571168694,48.25950474238,35.2590929600243
"47",12.5496347888428,4.01441845795323,50.5817260490487,36.6020077276776
"48",13.1959742866428,4.15676399001517,52.8704763807484,38.1943184203614
"49",14.3096209776937,4.47009140529779,55.4769949591447,39.3328441161153
"50",15.0267908897557,4.62426625356265,58.1299102411699,41.1509367567689
"51",15.8586432476604,4.98963572282232,60.710343917539,42.7263538478456
"52",16.1787084175655,5.26129376876183,62.7538553687052,44.0818064122338
"53",16.9245025888145,5.43014407234878,64.9361916799791,45.27834789255
"54",17.3280265769217,5.63964143856288,67.2566762860796,46.9817189893252
"55",17.869662797178,6.08721130027055,70.1483968153056,48.9540869209367
"56",18.5813635319659,6.60482682390215,72.7633246501382,50.4392934450149
"57",19.3446440268425,7.17410466732803,75.0795914380536,51.5175325652943
"58",19.7227730752493,7.52407583505889,77.6444733540272,53.1941545736755
"59",20.2685405832225,8.14889222191854,80.057098310512,54.6154009433422
"60",20.4443047316263,8.48896491054859,82.130900077101,56.1034569236859
"61",21.0567679083822,8.98579687365263,84.8640475446261,57.7946416725686
"62",21.2038589969759,9.64836302648844,87.2246281595729,59.495050299172
"63",21.9521978375512,9.93397903128144,89.4376793351017,60.7352725632588
"64",22.5893936853273,9.99787351127602,90.9125870539855,61.756585548311
"65",22.7854197577168,10.7783734085127,93.2457944457453,63.1219310685136
"66",22.9920935026883,11.2245177170245,94.8797346138997,64.2840060539434
"67",23.5244467726575,11.7632366878227,96.7754372375824,65.3499947833343
"68",23.6939151716557,12.2384515756568,98.5972503560712,66.6413126030283
"69",23.5060705677353,13.1630451482838,100.299299573574,67.773039990065
"70",23.6390876441216,13.5656838300831,101.938231941275,69.0031502721053
"71",23.810879441927,14.1915147503391,103.176030808194,69.848449944118
"72",23.9098137156941,14.5702443425641,104.447657375899,70.7909220625402
"73",23.9775547400716,15.2944302267066,105.758338496859,71.9335018393286
"74",23.7233103622883,15.6147398636705,106.944677475805,73.2695838611898
"75",23.7527903730288,15.8861352420686,107.420289921731,73.8970072247021
"76",23.7239511588154,16.1220440090673,108.593051845369,74.9293667396169
"77",23.7360825782524,16.6988900617056,109.834172526338,75.959848511293
"78",23.6033617704912,16.8824097087992,110.986130264602,77.5472719954699
"79",23.2342724039599,17.4580709823349,110.992037206424,78.2221512712029
"80",22.7916252561809,18.0751629356837,111.307492918482,79.1602619418801
