"","S_C_avg_no_extinct_0125.sd","I_C_avg_no_extinct_0125.sd","S_N_avg_no_extinct_0125.sd","I_N_avg_no_extinct_0125.sd"
"1",0.925820099772551,0,0.916533132456283,0.174668753262615
"2",1.69085722185891,0.197907003474675,1.60131619744932,0.786926783195811
"3",1.98234840919035,0.273927134537773,2.1885932053517,1.24821042789867
"4",2.2905792382612,0.357791618544309,2.6402916450915,1.5455030489436
"5",2.40013914253425,0.387657443028553,2.90830810432537,1.91372350728564
"6",2.68162163991605,0.405080088841198,3.46876987719507,2.19325064271664
"7",2.91269939566926,0.435016473362188,3.84075402306333,2.3306371913243
"8",3.08770311621932,0.545591956855001,4.19023021710204,2.53818498415927
"9",3.23593001201689,0.589714632481972,4.54975471712293,2.90256108521979
"10",3.52737622232327,0.643858447384195,4.87495672297892,3.15594807399021
"11",3.939267872965,0.758107420120095,5.44239524917453,3.50006625964315
"12",4.24062378969737,0.704404964015168,5.8175730200966,3.86459117308221
"13",4.49952470061415,0.829397011198568,6.28632097295185,4.12485515072105
"14",4.57449392176669,0.81384130046199,6.64099882461815,4.61243781099505
"15",4.6558315773627,0.857623722738687,7.12019492991821,4.97553279690421
"16",4.92899489993266,0.881683328441231,7.72086993879787,5.47972782420961
"17",4.93388571010426,0.944447475955215,8.47924211811096,6.0374526813389
"18",5.04966061792426,0.957454021054008,9.16222695656169,6.38447276411907
"19",5.4003786791646,0.989743318610787,9.6920210007061,6.66994353603245
"20",5.71444804964219,1.02695078351923,10.5728714744001,7.24754452692488
"21",5.55783296960954,1.13398431593103,11.271320757307,7.72042938512776
"22",5.60297429627779,1.1590661514488,12.1132565110466,8.51799119421624
"23",5.95843847617962,1.22596454859741,13.1361109481888,9.1253326820128
"24",6.15824108083205,1.21405226514114,13.8870639906036,9.67461767563224
"25",6.39608595012169,1.348934698058,15.006183017575,10.3320564974102
"26",6.61912547837978,1.45161785360634,15.9242175634873,10.9496232176516
"27",6.88591247102718,1.57967141554061,17.1423941736426,11.6358458514464
"28",7.34581778708395,1.66040878351866,18.8365086721748,12.5945854543308
"29",7.58122375463294,1.73193178672644,20.012751037317,13.2781557732236
"30",8.08918796069997,1.73193178672644,21.3088188231349,14.0537736902629
"31",8.32424984223759,1.79723556013871,22.4577433653634,14.7830389141827
"32",8.84938914907059,1.9010786899886,24.1835129903946,15.8062245553414
"33",9.38291890522477,2.12450049909272,25.7164661573542,16.6154500627418
"34",9.75403547247758,2.1725219393586,27.3013523933651,17.5999135602532
"35",10.3881979559402,2.2387398905792,29.0576520888831,18.4872216812492
"36",11.0871995851198,2.36195887383901,31.1384318446642,19.7091090511935
"37",11.6214336489832,2.63168928584228,32.6484842056032,20.3623230795415
"38",12.2854709865503,2.73565673459447,34.2762703443629,21.1158567505081
"39",13.0723688541234,2.91567038377936,36.1319417267573,21.9822833031689
"40",13.7650425578439,3.1249324874175,38.1679014796482,23.1688077119573
"41",14.7409570685154,3.39279068819251,40.1908249713021,24.1191768905481
"42",15.4084431258637,3.73084332546837,42.6780674316815,25.6182188185672
"43",16.1340307121696,3.84102237643964,44.7453133108477,26.7998298545136
"44",16.9766716385063,4.14489674627872,46.8879372994052,27.9844245043971
"45",17.7265760557438,4.41047365719934,49.3718238921162,29.4782709823917
"46",18.2734841405384,4.65846527316655,51.5745363271583,30.8919289787084
"47",19.1061762240149,4.98707874836392,53.8338928843904,32.0830066484585
"48",19.7911690690304,5.35102584870206,56.1748859434594,33.4281675090606
"49",20.5626534514779,5.42853345471643,58.9715419000667,35.4461827242029
"50",21.0003435689617,5.88186806058128,61.267605137551,36.7987053091604
"51",22.10498553466,6.38345560513983,63.4754630174311,37.697851594518
"52",22.5201529114988,6.68277275234252,65.3769716567353,38.9369882477233
"53",23.4142118032654,7.18370714324673,68.2048205546906,40.414154140292
"54",24.0686419615016,7.46979073702313,70.5560212425609,41.6746411663873
"55",24.5427615585242,7.74286566241817,72.9111137562263,43.2161156637339
"56",25.281547989158,8.06342104932882,75.3322688614108,44.5763631782025
"57",26.3223558842097,8.36083279622205,77.331263433796,45.4285714285714
"58",27.0605191479656,9.12772692880475,79.4607262039817,46.169087295803
"59",27.7217823573566,9.63403743952171,81.9250088233567,47.6334134174659
"60",28.4537982584561,10.2682029868351,84.2038135113466,48.7041942381172
"61",29.2038485503278,10.5512951290947,85.8204104927427,49.2959355317089
"62",29.7059421907975,11.1159997491271,87.9669335937981,50.5062680949911
"63",30.1876355745039,11.7377110656028,89.8090234248087,51.7059818100104
"64",31.1207607910867,12.3664750521488,91.4536807151421,52.054032945662
"65",31.9642302916962,13.1578432660734,93.3935102849644,52.9196561030155
"66",32.5900208954613,13.6675188656877,95.0817678029946,53.7691435661299
"67",32.9759005722797,14.5901967240085,97.0631845845291,54.4034456631252
"68",33.300744737655,15.283772179088,98.7257225610269,55.0728308477794
"69",33.551748860186,15.5787808476277,100.092169439042,55.7103635723094
"70",33.5303823249597,16.2319560318297,101.718123174526,56.743874064671
"71",33.8480756972463,16.8927095625195,103.200848698688,57.3809811212229
"72",33.9506899878243,17.6758648648917,104.784569567172,58.3045303923752
"73",34.3342039264948,18.5600253591337,105.922558184282,58.1425930056294
"74",34.6812947825223,19.0469805087776,106.975607798136,58.1847351940891
"75",34.658471511239,19.6894724326307,107.823027201082,58.5130370960531
"76",34.7205589376926,20.5922563715003,108.597619685898,58.53637074204
"77",34.8077441938539,21.3179588616452,108.865454947715,58.3628549734453
"78",34.5293860252177,22.2197566144028,110.158588665486,59.1687279162234
"79",33.9786847951501,23.0847345240924,110.245257964827,58.9184997296232
"80",33.9090541570235,24.0033281207846,111.232857130718,59.1444639414777
