"","x"
"1",443.23
"2",474.12
"3",491.03
"4",496.128
"5",516.28367
"6",515.273
"7",512.12783
"8",523.12
"9",531.75
"10",525.38
"11",532.172
"12",535.28
"13",539.129
"14",536.128
"15",539.129
"16",560.127
"17",567.35
"18",582.6768
"19",597.51
"20",621.89
"21",658.1
"22",677.01
"23",679.29
"24",678.19
"25",677.6
"26",677.4
